Quality,Day,Sample,Abun
good,0,wine.machine2.14..1,0.008533333
good,0,wine.machine2.14..2,0.008966667
good,0,wine.machine2.16,0.006690685
good,0,wine.machine2.2,0.012144332
good,0,wine.machine2.4,0.005927599
good,0,wine.machine2.7..1,0.012769808
good,0,wine.machine2.7..2,0.013463764
good,0,wine.machine3.14..1,0.015333333
good,0,wine.machine3.14..2,0.015625
good,0,wine.machine3.16,0.006113897
good,0,wine.machine3.2,0.044645656
good,0,wine.machine3.4,0.039166667
good,0,wine.machine3.7,0.023466667
