Day,Quality,Sample,Abun
0,good,wine.machine2.14..1,0.000166667
0,good,wine.machine2.14..2,0.000133333
0,good,wine.machine2.16,0.00011877
0,good,wine.machine2.2,6.99962E-05
0,good,wine.machine2.4,0.000246983
0,good,wine.machine2.7..1,0.000234616
0,good,wine.machine2.7..2,0.000105186
0,good,wine.machine3.14..1,0.000233333
0,good,wine.machine3.14..2,0.00014988
0,good,wine.machine3.16,0.000103043
0,good,wine.machine3.2,3.4825E-05
0,good,wine.machine3.4,0.000333333
0,good,wine.machine3.7,6.66667E-05
