Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.000225
good,14,wine.manual10.1.14,0.00015
good,2,wine.manual10.1.2,0.000125
good,30,wine.manual10.1.30,0.00055
good,4,wine.manual10.1.4,0.000325
good,60,wine.manual10.1.60,0.000575
good,7,wine.manual10.1.7,0.000225
good,70,wine.manual10.1.70,0.000275
good,1,wine.manual10.2.1,0.000275
good,14,wine.manual10.2.14,0.000125
good,2,wine.manual10.2.2,0.00015
good,30,wine.manual10.2.30,0.000146735
good,4,wine.manual10.2.4,9.98E-05
good,60,wine.manual10.2.60,0.000301205
good,7,wine.manual10.2.7,0.00013074
good,70,wine.manual10.2.70,0.000282922
good,14,wine.manual10.3.14,0.00035
good,2,wine.manual10.3.2,0.0001
good,30,wine.manual10.3.30,5.00E-05
good,4,wine.manual10.3.4,0.00015
good,60,wine.manual10.3.60,7.50E-05
good,7,wine.manual10.3.7,7.50E-05
good,70,wine.manual10.3.70,0.0002
poor,1,wine.manual3.1.1,0.001075
poor,14,wine.manual3.1.14,0.000225
poor,2,wine.manual3.1.2,0.0007
poor,30,wine.manual3.1.30,0.0002
poor,4,wine.manual3.1.4,0.0002
poor,60,wine.manual3.1.60,0.0001
poor,7,wine.manual3.1.7,0.0002
poor,1,wine.manual3.2.1,0.00095
poor,14,wine.manual3.2.14,0.000225
poor,2,wine.manual3.2.2,0.0012
poor,30,wine.manual3.2.30,0.00055
poor,4,wine.manual3.2.4,0.00025
poor,7,wine.manual3.2.7,0.000175
intermediate,16,wine.manual3.3.16,0.0002
intermediate,2,wine.manual3.3.2,0.000425
intermediate,30,wine.manual3.3.30,0.000575
intermediate,4,wine.manual3.3.4,0.000375
intermediate,60,wine.manual3.3.60,0.0007
intermediate,7,wine.manual3.3.7,0.000275
intermediate,70,wine.manual3.3.70,0.000375
poor,1,wine.manual4.1.1,0.0007
poor,14,wine.manual4.1.14,0.000175
poor,2,wine.manual4.1.2,0.000825
poor,30,wine.manual4.1.30,0.0005
poor,4,wine.manual4.1.4,0.0004
poor,7,wine.manual4.1.7,0.0001
poor,1,wine.manual4.2.1,0.00155
poor,14,wine.manual4.2.14,0.000525
poor,2,wine.manual4.2.2,0.00065
poor,30,wine.manual4.2.30,0.000625
poor,4,wine.manual4.2.4,0.00055
poor,7,wine.manual4.2.7,0.00025
good,16,wine.manual4.3.16,0.000425
good,2,wine.manual4.3.2,0.00115
good,30,wine.manual4.3.30,0.001275
good,4,wine.manual4.3.4,0.001125
good,7,wine.manual4.3.7,0.000775
good,1,wine.manual9.1.1,0.000125
good,14,wine.manual9.1.14,0.0008
good,2,wine.manual9.1.2,0.0004
good,30,wine.manual9.1.30,3.69E-05
good,4,wine.manual9.1.4,0.000375
good,60,wine.manual9.1.60,0.000325
good,7,wine.manual9.1.7,0.000425
good,70,wine.manual9.1.70,0.000181102
good,1,wine.manual9.2.1,0.000175
good,14,wine.manual9.2.14,0.0001
good,2,wine.manual9.2.2,0.00015
good,30,wine.manual9.2.30,0.000125
good,4,wine.manual9.2.4,2.50E-05
good,60,wine.manual9.2.60,5.00E-05
good,7,wine.manual9.2.7,0.0001
good,70,wine.manual9.2.70,0.0001
intermediate,16,wine.manual9.3.16,6.74E-05
intermediate,2,wine.manual9.3.2,2.50E-05
intermediate,30,wine.manual9.3.30,0.0002
intermediate,4,wine.manual9.3.4,0.0001
intermediate,60,wine.manual9.3.60,0.000275
intermediate,7,wine.manual9.3.7,0
intermediate,70,wine.manual9.3.70,0.00015
