Quanlity,Day,Sample,Abun
good,1,wine.manual10.1.1,0.003625
good,14,wine.manual10.1.14,0.004675
good,2,wine.manual10.1.2,0.001725
good,30,wine.manual10.1.30,0.01345
good,4,wine.manual10.1.4,0.002675
good,60,wine.manual10.1.60,0.012175
good,7,wine.manual10.1.7,0.0047
good,70,wine.manual10.1.70,0.002425
good,1,wine.manual10.2.1,0.000925
good,14,wine.manual10.2.14,0.001975
good,2,wine.manual10.2.2,0.00115
good,30,wine.manual10.2.30,0.004181952
good,4,wine.manual10.2.4,0.000665358
good,60,wine.manual10.2.60,0.001731928
good,7,wine.manual10.2.7,0.000719072
good,70,wine.manual10.2.70,0.001286008
good,14,wine.manual10.3.14,0.007025
good,2,wine.manual10.3.2,0.004875
good,30,wine.manual10.3.30,0.004375
good,4,wine.manual10.3.4,0.0038
good,60,wine.manual10.3.60,0.00395
good,7,wine.manual10.3.7,0.0025
good,70,wine.manual10.3.70,0.005475
poor,1,wine.manual3.1.1,0.000825
poor,14,wine.manual3.1.14,0.0004
poor,2,wine.manual3.1.2,0.00055
poor,30,wine.manual3.1.30,0.000275
poor,4,wine.manual3.1.4,0.000125
poor,60,wine.manual3.1.60,0.00055
poor,7,wine.manual3.1.7,5.00E-05
poor,1,wine.manual3.2.1,0.001875
poor,14,wine.manual3.2.14,0.0005
poor,2,wine.manual3.2.2,0.001875
poor,30,wine.manual3.2.30,0.0015
poor,4,wine.manual3.2.4,0.00035
poor,7,wine.manual3.2.7,0.000175
intermediate,16,wine.manual3.3.16,0.0001
intermediate,2,wine.manual3.3.2,0.0002
intermediate,30,wine.manual3.3.30,0.000125
intermediate,4,wine.manual3.3.4,7.50E-05
intermediate,60,wine.manual3.3.60,0.00075
intermediate,7,wine.manual3.3.7,0.000175
intermediate,70,wine.manual3.3.70,0.000175
poor,1,wine.manual4.1.1,0.0019
poor,14,wine.manual4.1.14,0.000925
poor,2,wine.manual4.1.2,0.001175
poor,30,wine.manual4.1.30,0.00085
poor,4,wine.manual4.1.4,0.000525
poor,7,wine.manual4.1.7,0.000425
poor,1,wine.manual4.2.1,0.003425
poor,14,wine.manual4.2.14,0.001275
poor,2,wine.manual4.2.2,0.001
poor,30,wine.manual4.2.30,0.002
poor,4,wine.manual4.2.4,0.0012
poor,7,wine.manual4.2.7,0.000675
good,16,wine.manual4.3.16,0.00035
good,2,wine.manual4.3.2,0.000825
good,30,wine.manual4.3.30,0.000675
good,4,wine.manual4.3.4,0.000425
good,7,wine.manual4.3.7,0.0005
good,1,wine.manual9.1.1,0.00185
good,14,wine.manual9.1.14,0.003875
good,2,wine.manual9.1.2,0.002
good,30,wine.manual9.1.30,0.000184645
good,4,wine.manual9.1.4,0.0005
good,60,wine.manual9.1.60,0.003825
good,7,wine.manual9.1.7,0.001975
good,70,wine.manual9.1.70,0.000226378
good,1,wine.manual9.2.1,0.0008
good,14,wine.manual9.2.14,0.00025
good,2,wine.manual9.2.2,0.00035
good,30,wine.manual9.2.30,0.000525
good,4,wine.manual9.2.4,0.000275
good,60,wine.manual9.2.60,0.000375
good,7,wine.manual9.2.7,0.0006
good,70,wine.manual9.2.70,0.00055
intermediate,16,wine.manual9.3.16,0.000236056
intermediate,2,wine.manual9.3.2,0.00015
intermediate,30,wine.manual9.3.30,0.00025
intermediate,4,wine.manual9.3.4,0.0001
intermediate,60,wine.manual9.3.60,0.0002
intermediate,7,wine.manual9.3.7,0.000125
intermediate,70,wine.manual9.3.70,0.0003
