Quanlity,Day,Sample,Abun
good,1,wine.manual10.1.1,0.103025
good,14,wine.manual10.1.14,0.0441
good,2,wine.manual10.1.2,0.0758
good,30,wine.manual10.1.30,0.0495
good,4,wine.manual10.1.4,0.063825
good,60,wine.manual10.1.60,0.053225
good,7,wine.manual10.1.7,0.0571
good,70,wine.manual10.1.70,0.064425
good,1,wine.manual10.2.1,0.0469
good,14,wine.manual10.2.14,0.0195
good,2,wine.manual10.2.2,0.0364
good,30,wine.manual10.2.30,0.027439472
good,4,wine.manual10.2.4,0.026880468
good,60,wine.manual10.2.60,0.03810241
good,7,wine.manual10.2.7,0.026115378
good,70,wine.manual10.2.70,0.037011317
good,14,wine.manual10.3.14,0.0166
good,2,wine.manual10.3.2,0.031275
good,30,wine.manual10.3.30,0.020225
good,4,wine.manual10.3.4,0.023225
good,60,wine.manual10.3.60,0.024425
good,7,wine.manual10.3.7,0.0077
good,70,wine.manual10.3.70,0.03375
poor,1,wine.manual3.1.1,0.018925
poor,14,wine.manual3.1.14,0.004075
poor,2,wine.manual3.1.2,0.006725
poor,30,wine.manual3.1.30,0.003025
poor,4,wine.manual3.1.4,0.00215
poor,60,wine.manual3.1.60,0.002925
poor,7,wine.manual3.1.7,0.0022
poor,1,wine.manual3.2.1,0.10745
poor,14,wine.manual3.2.14,0.0043
poor,2,wine.manual3.2.2,0.0954
poor,30,wine.manual3.2.30,0.0086
poor,4,wine.manual3.2.4,0.009725
poor,7,wine.manual3.2.7,0.003175
intermediate,16,wine.manual3.3.16,0.011125
intermediate,2,wine.manual3.3.2,0.00775
intermediate,30,wine.manual3.3.30,0.00415
intermediate,4,wine.manual3.3.4,0.00245
intermediate,60,wine.manual3.3.60,0.014725
intermediate,7,wine.manual3.3.7,0.00185
intermediate,70,wine.manual3.3.70,0.017375
poor,1,wine.manual4.1.1,0.2661
poor,14,wine.manual4.1.14,0.02195
poor,2,wine.manual4.1.2,0.131675
poor,30,wine.manual4.1.30,0.035875
poor,4,wine.manual4.1.4,0.04115
poor,7,wine.manual4.1.7,0.02125
poor,1,wine.manual4.2.1,0.285075
poor,14,wine.manual4.2.14,0.0334
poor,2,wine.manual4.2.2,0.093225
poor,30,wine.manual4.2.30,0.076825
poor,4,wine.manual4.2.4,0.07065
poor,7,wine.manual4.2.7,0.03315
good,16,wine.manual4.3.16,0.0118
good,2,wine.manual4.3.2,0.065225
good,30,wine.manual4.3.30,0.022775
good,4,wine.manual4.3.4,0.036425
good,7,wine.manual4.3.7,0.03035
good,1,wine.manual9.1.1,0.092075
good,14,wine.manual9.1.14,0.05145
good,2,wine.manual9.1.2,0.088075
good,30,wine.manual9.1.30,0.008456738
good,4,wine.manual9.1.4,0.07515
good,60,wine.manual9.1.60,0.011475
good,7,wine.manual9.1.7,0.05705
good,70,wine.manual9.1.70,0.015846425
good,1,wine.manual9.2.1,0.1282
good,14,wine.manual9.2.14,0.029875
good,2,wine.manual9.2.2,0.0466
good,30,wine.manual9.2.30,0.0345
good,4,wine.manual9.2.4,0.034025
good,60,wine.manual9.2.60,0.039525
good,7,wine.manual9.2.7,0.012875
good,70,wine.manual9.2.70,0.0526
intermediate,16,wine.manual9.3.16,0.019997302
intermediate,2,wine.manual9.3.2,0.0458
intermediate,30,wine.manual9.3.30,0.042625
intermediate,4,wine.manual9.3.4,0.039625
intermediate,60,wine.manual9.3.60,0.04895
intermediate,7,wine.manual9.3.7,0.03325
intermediate,70,wine.manual9.3.70,0.049025
