Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.00855
good,14,wine.manual10.1.14,0.004125
good,2,wine.manual10.1.2,0.00725
good,30,wine.manual10.1.30,0.005475
good,4,wine.manual10.1.4,0.005625
good,60,wine.manual10.1.60,0.005875
good,7,wine.manual10.1.7,0.006125
good,70,wine.manual10.1.70,0.006075
good,1,wine.manual10.2.1,0.0075
good,14,wine.manual10.2.14,0.002675
good,2,wine.manual10.2.2,0.005175
good,30,wine.manual10.2.30,0.003448276
good,4,wine.manual10.2.4,0.004324828
good,60,wine.manual10.2.60,0.004141566
good,7,wine.manual10.2.7,0.004772022
good,70,wine.manual10.2.70,0.006018519
good,14,wine.manual10.3.14,0.00245
good,2,wine.manual10.3.2,0.005275
good,30,wine.manual10.3.30,0.00385
good,4,wine.manual10.3.4,0.003475
good,60,wine.manual10.3.60,0.003925
good,7,wine.manual10.3.7,0.001175
good,70,wine.manual10.3.70,0.005675
poor,1,wine.manual3.1.1,0.00195
poor,14,wine.manual3.1.14,0.00035
poor,2,wine.manual3.1.2,0.0006
poor,30,wine.manual3.1.30,0.000275
poor,4,wine.manual3.1.4,0.00015
poor,60,wine.manual3.1.60,0.00025
poor,7,wine.manual3.1.7,0.00015
poor,1,wine.manual3.2.1,0.006125
poor,14,wine.manual3.2.14,0.000325
poor,2,wine.manual3.2.2,0.00575
poor,30,wine.manual3.2.30,0.000825
poor,4,wine.manual3.2.4,0.001075
poor,7,wine.manual3.2.7,0.0002
intermediate,16,wine.manual3.3.16,0.000175
intermediate,2,wine.manual3.3.2,0.0002
intermediate,30,wine.manual3.3.30,0.000325
intermediate,4,wine.manual3.3.4,0.000125
intermediate,60,wine.manual3.3.60,0.001425
intermediate,7,wine.manual3.3.7,0.000125
intermediate,70,wine.manual3.3.70,0.001025
poor,1,wine.manual4.1.1,0.0012
poor,14,wine.manual4.1.14,0.00025
poor,2,wine.manual4.1.2,0.000425
poor,30,wine.manual4.1.30,0.0001
poor,4,wine.manual4.1.4,0.000225
poor,7,wine.manual4.1.7,0.00015
poor,1,wine.manual4.2.1,0.00195
poor,14,wine.manual4.2.14,0.00035
poor,2,wine.manual4.2.2,0.00085
poor,30,wine.manual4.2.30,0.00065
poor,4,wine.manual4.2.4,0.0005
poor,7,wine.manual4.2.7,0.000125
good,16,wine.manual4.3.16,5.00E-05
good,2,wine.manual4.3.2,0.00105
good,30,wine.manual4.3.30,0.00035
good,4,wine.manual4.3.4,0.0005
good,7,wine.manual4.3.7,0.000375
good,1,wine.manual9.1.1,0.012075
good,14,wine.manual9.1.14,0.00695
good,2,wine.manual9.1.2,0.008525
good,30,wine.manual9.1.30,3.69E-05
good,4,wine.manual9.1.4,0.00875
good,60,wine.manual9.1.60,0.001925
good,7,wine.manual9.1.7,0.007
good,70,wine.manual9.1.70,0.00131299
good,1,wine.manual9.2.1,0.003725
good,14,wine.manual9.2.14,0.000625
good,2,wine.manual9.2.2,0.00155
good,30,wine.manual9.2.30,0.001075
good,4,wine.manual9.2.4,0.0011
good,60,wine.manual9.2.60,0.000875
good,7,wine.manual9.2.7,0.000325
good,70,wine.manual9.2.70,0.00165
intermediate,16,wine.manual9.3.16,0.000674445
intermediate,2,wine.manual9.3.2,0.000625
intermediate,30,wine.manual9.3.30,0.000725
intermediate,4,wine.manual9.3.4,0.000575
intermediate,60,wine.manual9.3.60,0.001075
intermediate,7,wine.manual9.3.7,0.000475
intermediate,70,wine.manual9.3.70,0.000975
