Quanlity,Day,Sample,Abun
good,1,wine.manual10.1.1,0.100325
good,14,wine.manual10.1.14,0.214725
good,2,wine.manual10.1.2,0.0357
good,30,wine.manual10.1.30,0.162675
good,4,wine.manual10.1.4,0.11855
good,60,wine.manual10.1.60,0.110425
good,7,wine.manual10.1.7,0.209275
good,70,wine.manual10.1.70,0.060575
good,1,wine.manual10.2.1,0.0597
good,14,wine.manual10.2.14,0.489175
good,2,wine.manual10.2.2,0.1586
good,30,wine.manual10.2.30,0.323697726
good,4,wine.manual10.2.4,0.294520776
good,60,wine.manual10.2.60,0.198569277
good,7,wine.manual10.2.7,0.329890505
good,70,wine.manual10.2.70,0.134902263
good,14,wine.manual10.3.14,0.76825
good,2,wine.manual10.3.2,0.5813
good,30,wine.manual10.3.30,0.675875
good,4,wine.manual10.3.4,0.69235
good,60,wine.manual10.3.60,0.623225
good,7,wine.manual10.3.7,0.8726
good,70,wine.manual10.3.70,0.551375
poor,1,wine.manual3.1.1,0.4115
poor,14,wine.manual3.1.14,0.9269
poor,2,wine.manual3.1.2,0.71935
poor,30,wine.manual3.1.30,0.864375
poor,4,wine.manual3.1.4,0.887325
poor,60,wine.manual3.1.60,0.888825
poor,7,wine.manual3.1.7,0.9132
poor,1,wine.manual3.2.1,0.186375
poor,14,wine.manual3.2.14,0.89715
poor,2,wine.manual3.2.2,0.242025
poor,30,wine.manual3.2.30,0.80985
poor,4,wine.manual3.2.4,0.8282
poor,7,wine.manual3.2.7,0.882275
intermediate,16,wine.manual3.3.16,0.8322
intermediate,2,wine.manual3.3.2,0.84415
intermediate,30,wine.manual3.3.30,0.8579
intermediate,4,wine.manual3.3.4,0.8877
intermediate,60,wine.manual3.3.60,0.737275
intermediate,7,wine.manual3.3.7,0.9402
intermediate,70,wine.manual3.3.70,0.706975
poor,1,wine.manual4.1.1,0.1823
poor,14,wine.manual4.1.14,0.8809
poor,2,wine.manual4.1.2,0.537275
poor,30,wine.manual4.1.30,0.800075
poor,4,wine.manual4.1.4,0.838975
poor,7,wine.manual4.1.7,0.910375
poor,1,wine.manual4.2.1,0.12405
poor,14,wine.manual4.2.14,0.83045
poor,2,wine.manual4.2.2,0.656875
poor,30,wine.manual4.2.30,0.644825
poor,4,wine.manual4.2.4,0.714275
poor,7,wine.manual4.2.7,0.859675
good,16,wine.manual4.3.16,0.87045
good,2,wine.manual4.3.2,0.45055
good,30,wine.manual4.3.30,0.75515
good,4,wine.manual4.3.4,0.697025
good,7,wine.manual4.3.7,0.746725
good,1,wine.manual9.1.1,0.0308
good,14,wine.manual9.1.14,0.289
good,2,wine.manual9.1.2,0.052775
good,30,wine.manual9.1.30,0.00653643
good,4,wine.manual9.1.4,0.11735
good,60,wine.manual9.1.60,0.197225
good,7,wine.manual9.1.7,0.27145
good,70,wine.manual9.1.70,0.475573867
good,1,wine.manual9.2.1,0.107075
good,14,wine.manual9.2.14,0.6625
good,2,wine.manual9.2.2,0.592775
good,30,wine.manual9.2.30,0.581125
good,4,wine.manual9.2.4,0.638525
good,60,wine.manual9.2.60,0.4882
good,7,wine.manual9.2.7,0.8559
good,70,wine.manual9.2.70,0.44055
intermediate,16,wine.manual9.3.16,0.696836852
intermediate,2,wine.manual9.3.2,0.55
intermediate,30,wine.manual9.3.30,0.610025
intermediate,4,wine.manual9.3.4,0.6198
intermediate,60,wine.manual9.3.60,0.571125
intermediate,7,wine.manual9.3.7,0.701875
intermediate,70,wine.manual9.3.70,0.53285
