Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.0009
good,14,wine.manual10.1.14,0.001325
good,2,wine.manual10.1.2,0.00085
good,30,wine.manual10.1.30,0.004825
good,4,wine.manual10.1.4,0.000875
good,60,wine.manual10.1.60,0.0053
good,7,wine.manual10.1.7,0.0008
good,70,wine.manual10.1.70,0.0016
good,1,wine.manual10.2.1,0.0069
good,14,wine.manual10.2.14,0.004325
good,2,wine.manual10.2.2,0.007675
good,30,wine.manual10.2.30,0.023771093
good,4,wine.manual10.2.4,0.005589008
good,60,wine.manual10.2.60,0.024322289
good,7,wine.manual10.2.7,0.006275535
good,70,wine.manual10.2.70,0.006044239
good,14,wine.manual10.3.14,0.0043
good,2,wine.manual10.3.2,0.0003
good,30,wine.manual10.3.30,0.000475
good,4,wine.manual10.3.4,0.000425
good,60,wine.manual10.3.60,0.000475
good,7,wine.manual10.3.7,0.000125
good,70,wine.manual10.3.70,0.000425
poor,1,wine.manual3.1.1,0.0015
poor,14,wine.manual3.1.14,0.00045
poor,2,wine.manual3.1.2,0.00065
poor,30,wine.manual3.1.30,0.00035
poor,4,wine.manual3.1.4,0.000475
poor,60,wine.manual3.1.60,0.000425
poor,7,wine.manual3.1.7,0.000275
poor,1,wine.manual3.2.1,0.004425
poor,14,wine.manual3.2.14,0.00035
poor,2,wine.manual3.2.2,0.0036
poor,30,wine.manual3.2.30,0.0028
poor,4,wine.manual3.2.4,0.001
poor,7,wine.manual3.2.7,0.0004
intermediate,16,wine.manual3.3.16,0.0011
intermediate,2,wine.manual3.3.2,0.0016
intermediate,30,wine.manual3.3.30,0.0012
intermediate,4,wine.manual3.3.4,0.001225
intermediate,60,wine.manual3.3.60,0.001675
intermediate,7,wine.manual3.3.7,0.0009
intermediate,70,wine.manual3.3.70,0.003675
poor,1,wine.manual4.1.1,0.003375
poor,14,wine.manual4.1.14,0.00145
poor,2,wine.manual4.1.2,0.001825
poor,30,wine.manual4.1.30,0.000825
poor,4,wine.manual4.1.4,0.0006
poor,7,wine.manual4.1.7,0.000475
poor,1,wine.manual4.2.1,0.00585
poor,14,wine.manual4.2.14,0.0028
poor,2,wine.manual4.2.2,0.0022
poor,30,wine.manual4.2.30,0.005925
poor,4,wine.manual4.2.4,0.002475
poor,7,wine.manual4.2.7,0.00085
good,16,wine.manual4.3.16,0.004225
good,2,wine.manual4.3.2,0.01165
good,30,wine.manual4.3.30,0.007625
good,4,wine.manual4.3.4,0.003225
good,7,wine.manual4.3.7,0.004475
good,1,wine.manual9.1.1,0.001825
good,14,wine.manual9.1.14,0.002575
good,2,wine.manual9.1.2,0.0033
good,30,wine.manual9.1.30,0.000332361
good,4,wine.manual9.1.4,0.00265
good,60,wine.manual9.1.60,0.001975
good,7,wine.manual9.1.7,0.00245
good,70,wine.manual9.1.70,0.003486214
good,1,wine.manual9.2.1,0.00075
good,14,wine.manual9.2.14,0.000575
good,2,wine.manual9.2.2,0.000375
good,30,wine.manual9.2.30,0.000775
good,4,wine.manual9.2.4,0.000375
good,60,wine.manual9.2.60,0.000425
good,7,wine.manual9.2.7,0.000225
good,70,wine.manual9.2.70,0.001125
intermediate,16,wine.manual9.3.16,0.000876779
intermediate,2,wine.manual9.3.2,0.0005
intermediate,30,wine.manual9.3.30,0.001375
intermediate,4,wine.manual9.3.4,0.00035
intermediate,60,wine.manual9.3.60,0.000725
intermediate,7,wine.manual9.3.7,0.000525
intermediate,70,wine.manual9.3.70,0.000925
