Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.000425
good,14,wine.manual10.1.14,0.000925
good,2,wine.manual10.1.2,0.000225
good,30,wine.manual10.1.30,0.00105
good,4,wine.manual10.1.4,0.0002
good,60,wine.manual10.1.60,0.002475
good,7,wine.manual10.1.7,0.00035
good,70,wine.manual10.1.70,0.000675
good,1,wine.manual10.2.1,0.000225
good,14,wine.manual10.2.14,0.00015
good,2,wine.manual10.2.2,0.0001
good,30,wine.manual10.2.30,0.002274395
good,4,wine.manual10.2.4,3.33E-05
good,60,wine.manual10.2.60,0.00248494
good,7,wine.manual10.2.7,0.000163425
good,70,wine.manual10.2.70,7.72E-05
good,14,wine.manual10.3.14,0.001375
good,2,wine.manual10.3.2,0.000175
good,30,wine.manual10.3.30,0.00015
good,4,wine.manual10.3.4,5.00E-05
good,60,wine.manual10.3.60,7.50E-05
good,7,wine.manual10.3.7,0.000125
good,70,wine.manual10.3.70,0.00015
poor,1,wine.manual3.1.1,0.000475
poor,14,wine.manual3.1.14,0.0002
poor,2,wine.manual3.1.2,7.50E-05
poor,30,wine.manual3.1.30,0.00015
poor,4,wine.manual3.1.4,2.50E-05
poor,60,wine.manual3.1.60,0.00015
poor,7,wine.manual3.1.7,0.0001
poor,1,wine.manual3.2.1,0.00245
poor,14,wine.manual3.2.14,0.000225
poor,2,wine.manual3.2.2,0.00245
poor,30,wine.manual3.2.30,0.001275
poor,4,wine.manual3.2.4,0.000275
poor,7,wine.manual3.2.7,0.000175
intermediate,16,wine.manual3.3.16,0.0001
intermediate,2,wine.manual3.3.2,0.000425
intermediate,30,wine.manual3.3.30,0.000125
intermediate,4,wine.manual3.3.4,0.000125
intermediate,60,wine.manual3.3.60,0.00015
intermediate,7,wine.manual3.3.7,0.000125
intermediate,70,wine.manual3.3.70,0.0012
poor,1,wine.manual4.1.1,0.00015
poor,14,wine.manual4.1.14,0.0003
poor,2,wine.manual4.1.2,0.0001
poor,30,wine.manual4.1.30,0.00035
poor,4,wine.manual4.1.4,0
poor,7,wine.manual4.1.7,0
poor,1,wine.manual4.2.1,0.0003
poor,14,wine.manual4.2.14,0.000925
poor,2,wine.manual4.2.2,5.00E-05
poor,30,wine.manual4.2.30,0.001975
poor,4,wine.manual4.2.4,0.000225
poor,7,wine.manual4.2.7,0.000225
good,16,wine.manual4.3.16,0.002075
good,2,wine.manual4.3.2,0.005625
good,30,wine.manual4.3.30,0.0031
good,4,wine.manual4.3.4,0.0014
good,7,wine.manual4.3.7,0.00085
good,1,wine.manual9.1.1,0.000175
good,14,wine.manual9.1.14,0.000675
good,2,wine.manual9.1.2,0.00035
good,30,wine.manual9.1.30,0.000147716
good,4,wine.manual9.1.4,0.000425
good,60,wine.manual9.1.60,0.0002
good,7,wine.manual9.1.7,0.000375
good,70,wine.manual9.1.70,0.000498031
good,1,wine.manual9.2.1,0.00035
good,14,wine.manual9.2.14,0.000375
good,2,wine.manual9.2.2,0.0001
good,30,wine.manual9.2.30,0.000875
good,4,wine.manual9.2.4,0.0003
good,60,wine.manual9.2.60,0.000525
good,7,wine.manual9.2.7,0.0002
good,70,wine.manual9.2.70,0.000375
intermediate,16,wine.manual9.3.16,0.000977946
intermediate,2,wine.manual9.3.2,0.00025
intermediate,30,wine.manual9.3.30,0.001175
intermediate,4,wine.manual9.3.4,0.000225
intermediate,60,wine.manual9.3.60,0.00085
intermediate,7,wine.manual9.3.7,0.001225
intermediate,70,wine.manual9.3.70,0.00055
