Quanlity,Day,Sample,Abun
good,1,wine.manual10.1.1,0.000175
good,14,wine.manual10.1.14,5.00E-05
good,2,wine.manual10.1.2,0
good,30,wine.manual10.1.30,0
good,4,wine.manual10.1.4,5.00E-05
good,60,wine.manual10.1.60,0.000375
good,7,wine.manual10.1.7,0
good,70,wine.manual10.1.70,0.00015
good,1,wine.manual10.2.1,0.00085
good,14,wine.manual10.2.14,0.000775
good,2,wine.manual10.2.2,0.001
good,30,wine.manual10.2.30,0.000366838
good,4,wine.manual10.2.4,0.000998037
good,60,wine.manual10.2.60,0.000301205
good,7,wine.manual10.2.7,0.001111293
good,70,wine.manual10.2.70,5.14E-05
good,14,wine.manual10.3.14,2.50E-05
good,2,wine.manual10.3.2,0.000325
good,30,wine.manual10.3.30,0.000425
good,4,wine.manual10.3.4,0.000275
good,60,wine.manual10.3.60,0.001075
good,7,wine.manual10.3.7,0.0001
good,70,wine.manual10.3.70,0.000225
poor,1,wine.manual3.1.1,0
poor,14,wine.manual3.1.14,0
poor,2,wine.manual3.1.2,0
poor,30,wine.manual3.1.30,0
poor,4,wine.manual3.1.4,0
poor,60,wine.manual3.1.60,0
poor,7,wine.manual3.1.7,0
poor,1,wine.manual3.2.1,0.00065
poor,14,wine.manual3.2.14,0
poor,2,wine.manual3.2.2,0
poor,30,wine.manual3.2.30,0
poor,4,wine.manual3.2.4,0
poor,7,wine.manual3.2.7,2.50E-05
intermediate,16,wine.manual3.3.16,2.50E-05
intermediate,2,wine.manual3.3.2,2.50E-05
intermediate,30,wine.manual3.3.30,7.50E-05
intermediate,4,wine.manual3.3.4,5.00E-05
intermediate,60,wine.manual3.3.60,0
intermediate,7,wine.manual3.3.7,2.50E-05
intermediate,70,wine.manual3.3.70,2.50E-05
poor,1,wine.manual4.1.1,0.000175
poor,14,wine.manual4.1.14,0
poor,2,wine.manual4.1.2,2.50E-05
poor,30,wine.manual4.1.30,0
poor,4,wine.manual4.1.4,0
poor,7,wine.manual4.1.7,0
poor,1,wine.manual4.2.1,0
poor,14,wine.manual4.2.14,0
poor,2,wine.manual4.2.2,0
poor,30,wine.manual4.2.30,2.50E-05
poor,4,wine.manual4.2.4,0
poor,7,wine.manual4.2.7,0
good,16,wine.manual4.3.16,0
good,2,wine.manual4.3.2,7.50E-05
good,30,wine.manual4.3.30,0
good,4,wine.manual4.3.4,2.50E-05
good,7,wine.manual4.3.7,2.50E-05
good,1,wine.manual9.1.1,5.00E-05
good,14,wine.manual9.1.14,0
good,2,wine.manual9.1.2,2.50E-05
good,30,wine.manual9.1.30,7.39E-05
good,4,wine.manual9.1.4,5.00E-05
good,60,wine.manual9.1.60,0.0002
good,7,wine.manual9.1.7,0.000125
good,70,wine.manual9.1.70,0.000135827
good,1,wine.manual9.2.1,0
good,14,wine.manual9.2.14,0
good,2,wine.manual9.2.2,2.50E-05
good,30,wine.manual9.2.30,0
good,4,wine.manual9.2.4,0
good,60,wine.manual9.2.60,5.00E-05
good,7,wine.manual9.2.7,0
good,70,wine.manual9.2.70,0
intermediate,16,wine.manual9.3.16,0
intermediate,2,wine.manual9.3.2,2.50E-05
intermediate,30,wine.manual9.3.30,2.50E-05
intermediate,4,wine.manual9.3.4,0
intermediate,60,wine.manual9.3.60,2.50E-05
intermediate,7,wine.manual9.3.7,0
intermediate,70,wine.manual9.3.70,0
