Quanlity,Day,Sample,Abun
good,1,wine.manual10.1.1,0.00405
good,14,wine.manual10.1.14,0.0029
good,2,wine.manual10.1.2,0.002425
good,30,wine.manual10.1.30,0.002575
good,4,wine.manual10.1.4,0.00505
good,60,wine.manual10.1.60,0.001875
good,7,wine.manual10.1.7,0.00345
good,70,wine.manual10.1.70,0.0049
good,1,wine.manual10.2.1,0.00705
good,14,wine.manual10.2.14,0.004075
good,2,wine.manual10.2.2,0.007975
good,30,wine.manual10.2.30,0.004622157
good,4,wine.manual10.2.4,0.00652051
good,60,wine.manual10.2.60,0.006174699
good,7,wine.manual10.2.7,0.004968132
good,70,wine.manual10.2.70,0.005581276
good,14,wine.manual10.3.14,0.001025
good,2,wine.manual10.3.2,0.003375
good,30,wine.manual10.3.30,0.0018
good,4,wine.manual10.3.4,0.0015
good,60,wine.manual10.3.60,0.001525
good,7,wine.manual10.3.7,0.000725
good,70,wine.manual10.3.70,0.002125
poor,1,wine.manual3.1.1,0.0087
poor,14,wine.manual3.1.14,0.0014
poor,2,wine.manual3.1.2,0.00835
poor,30,wine.manual3.1.30,0.002475
poor,4,wine.manual3.1.4,0.003675
poor,60,wine.manual3.1.60,0.002225
poor,7,wine.manual3.1.7,0.00185
poor,1,wine.manual3.2.1,0.010175
poor,14,wine.manual3.2.14,0.001925
poor,2,wine.manual3.2.2,0.006975
poor,30,wine.manual3.2.30,0.00365
poor,4,wine.manual3.2.4,0.00345
poor,7,wine.manual3.2.7,0.003225
intermediate,16,wine.manual3.3.16,0.002725
intermediate,2,wine.manual3.3.2,0.00525
intermediate,30,wine.manual3.3.30,0.00295
intermediate,4,wine.manual3.3.4,0.003625
intermediate,60,wine.manual3.3.60,0.003625
intermediate,7,wine.manual3.3.7,0.001675
intermediate,70,wine.manual3.3.70,0.003875
poor,1,wine.manual4.1.1,0.0043
poor,14,wine.manual4.1.14,0.00095
poor,2,wine.manual4.1.2,0.004775
poor,30,wine.manual4.1.30,0.00135
poor,4,wine.manual4.1.4,0.001575
poor,7,wine.manual4.1.7,0.000975
poor,1,wine.manual4.2.1,0.00765
poor,14,wine.manual4.2.14,0.001375
poor,2,wine.manual4.2.2,0.00275
poor,30,wine.manual4.2.30,0.002675
poor,4,wine.manual4.2.4,0.00255
poor,7,wine.manual4.2.7,0.001425
good,16,wine.manual4.3.16,0.002025
good,2,wine.manual4.3.2,0.039675
good,30,wine.manual4.3.30,0.0045
good,4,wine.manual4.3.4,0.00695
good,7,wine.manual4.3.7,0.0054
good,1,wine.manual9.1.1,0.0037
good,14,wine.manual9.1.14,0.003825
good,2,wine.manual9.1.2,0.005025
good,30,wine.manual9.1.30,0.000295432
good,4,wine.manual9.1.4,0.0033
good,60,wine.manual9.1.60,0.00095
good,7,wine.manual9.1.7,0.003625
good,70,wine.manual9.1.70,0.002671255
good,1,wine.manual9.2.1,0.006625
good,14,wine.manual9.2.14,0.002775
good,2,wine.manual9.2.2,0.005925
good,30,wine.manual9.2.30,0.0037
good,4,wine.manual9.2.4,0.00405
good,60,wine.manual9.2.60,0.003975
good,7,wine.manual9.2.7,0.0019
good,70,wine.manual9.2.70,0.00365
intermediate,16,wine.manual9.3.16,0.002731503
intermediate,2,wine.manual9.3.2,0.001275
intermediate,30,wine.manual9.3.30,0.00315
intermediate,4,wine.manual9.3.4,0.001275
intermediate,60,wine.manual9.3.60,0.0026
intermediate,7,wine.manual9.3.7,0.0029
intermediate,70,wine.manual9.3.70,0.00235
