Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.00025
good,14,wine.manual10.1.14,0.000375
good,2,wine.manual10.1.2,5.00E-05
good,30,wine.manual10.1.30,0.000875
good,4,wine.manual10.1.4,7.50E-05
good,60,wine.manual10.1.60,0.001525
good,7,wine.manual10.1.7,0.000225
good,70,wine.manual10.1.70,0.000175
good,1,wine.manual10.2.1,0.0009
good,14,wine.manual10.2.14,0.000525
good,2,wine.manual10.2.2,0.000975
good,30,wine.manual10.2.30,0.002054292
good,4,wine.manual10.2.4,0.001164377
good,60,wine.manual10.2.60,0.002108434
good,7,wine.manual10.2.7,0.001503514
good,70,wine.manual10.2.70,0.000231481
good,14,wine.manual10.3.14,0.00035
good,2,wine.manual10.3.2,0.00025
good,30,wine.manual10.3.30,0.0001
good,4,wine.manual10.3.4,0.00015
good,60,wine.manual10.3.60,0.000475
good,7,wine.manual10.3.7,0.0001
good,70,wine.manual10.3.70,0.0001
poor,1,wine.manual3.1.1,0.000175
poor,14,wine.manual3.1.14,0
poor,2,wine.manual3.1.2,0
poor,30,wine.manual3.1.30,0
poor,4,wine.manual3.1.4,5.00E-05
poor,60,wine.manual3.1.60,0.0001
poor,7,wine.manual3.1.7,5.00E-05
poor,1,wine.manual3.2.1,0.0011
poor,14,wine.manual3.2.14,0
poor,2,wine.manual3.2.2,2.50E-05
poor,30,wine.manual3.2.30,0.000125
poor,4,wine.manual3.2.4,0.000125
poor,7,wine.manual3.2.7,0
intermediate,16,wine.manual3.3.16,5.00E-05
intermediate,2,wine.manual3.3.2,0
intermediate,30,wine.manual3.3.30,2.50E-05
intermediate,4,wine.manual3.3.4,7.50E-05
intermediate,60,wine.manual3.3.60,5.00E-05
intermediate,7,wine.manual3.3.7,7.50E-05
intermediate,70,wine.manual3.3.70,2.50E-05
poor,1,wine.manual4.1.1,0.0001
poor,14,wine.manual4.1.14,0
poor,2,wine.manual4.1.2,0.0001
poor,30,wine.manual4.1.30,0
poor,4,wine.manual4.1.4,5.00E-05
poor,7,wine.manual4.1.7,0
poor,1,wine.manual4.2.1,0.000225
poor,14,wine.manual4.2.14,2.50E-05
poor,2,wine.manual4.2.2,0.0001
poor,30,wine.manual4.2.30,2.50E-05
poor,4,wine.manual4.2.4,0
poor,7,wine.manual4.2.7,2.50E-05
good,16,wine.manual4.3.16,2.50E-05
good,2,wine.manual4.3.2,2.50E-05
good,30,wine.manual4.3.30,5.00E-05
good,4,wine.manual4.3.4,2.50E-05
good,7,wine.manual4.3.7,0.0001
good,1,wine.manual9.1.1,0.000175
good,14,wine.manual9.1.14,0.000475
good,2,wine.manual9.1.2,0.000125
good,30,wine.manual9.1.30,0.000701651
good,4,wine.manual9.1.4,0.000225
good,60,wine.manual9.1.60,0.003125
good,7,wine.manual9.1.7,0.000175
good,70,wine.manual9.1.70,9.06E-05
good,1,wine.manual9.2.1,0.000125
good,14,wine.manual9.2.14,0
good,2,wine.manual9.2.2,2.50E-05
good,30,wine.manual9.2.30,0.0001
good,4,wine.manual9.2.4,2.50E-05
good,60,wine.manual9.2.60,7.50E-05
good,7,wine.manual9.2.7,2.50E-05
good,70,wine.manual9.2.70,0.000125
intermediate,16,wine.manual9.3.16,0
intermediate,2,wine.manual9.3.2,0.0001
intermediate,30,wine.manual9.3.30,2.50E-05
intermediate,4,wine.manual9.3.4,5.00E-05
intermediate,60,wine.manual9.3.60,7.50E-05
intermediate,7,wine.manual9.3.7,7.50E-05
intermediate,70,wine.manual9.3.70,0
