Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.00045
good,14,wine.manual10.1.14,0.0002
good,2,wine.manual10.1.2,7.50E-05
good,30,wine.manual10.1.30,0.001325
good,4,wine.manual10.1.4,7.50E-05
good,60,wine.manual10.1.60,0.001475
good,7,wine.manual10.1.7,0.0003
good,70,wine.manual10.1.70,7.50E-05
good,1,wine.manual10.2.1,0.004325
good,14,wine.manual10.2.14,0.002825
good,2,wine.manual10.2.2,0.004275
good,30,wine.manual10.2.30,0.000807043
good,4,wine.manual10.2.4,0.005622276
good,60,wine.manual10.2.60,0.00060241
good,7,wine.manual10.2.7,0.00411832
good,70,wine.manual10.2.70,0.000282922
good,14,wine.manual10.3.14,0.0002
good,2,wine.manual10.3.2,0.0022
good,30,wine.manual10.3.30,0.0016
good,4,wine.manual10.3.4,0.00155
good,60,wine.manual10.3.60,0.003625
good,7,wine.manual10.3.7,0.0006
good,70,wine.manual10.3.70,0.0004
poor,1,wine.manual3.1.1,0.00015
poor,14,wine.manual3.1.14,2.50E-05
poor,2,wine.manual3.1.2,0
poor,30,wine.manual3.1.30,0
poor,4,wine.manual3.1.4,0
poor,60,wine.manual3.1.60,2.50E-05
poor,7,wine.manual3.1.7,2.50E-05
poor,1,wine.manual3.2.1,0.00295
poor,14,wine.manual3.2.14,0
poor,2,wine.manual3.2.2,0
poor,30,wine.manual3.2.30,2.50E-05
poor,4,wine.manual3.2.4,0
poor,7,wine.manual3.2.7,0
intermediate,16,wine.manual3.3.16,0
intermediate,2,wine.manual3.3.2,0
intermediate,30,wine.manual3.3.30,5.00E-05
intermediate,4,wine.manual3.3.4,0
intermediate,60,wine.manual3.3.60,5.00E-05
intermediate,7,wine.manual3.3.7,0
intermediate,70,wine.manual3.3.70,0
poor,1,wine.manual4.1.1,0.000275
poor,14,wine.manual4.1.14,0
poor,2,wine.manual4.1.2,7.50E-05
poor,30,wine.manual4.1.30,0
poor,4,wine.manual4.1.4,0
poor,7,wine.manual4.1.7,5.00E-05
poor,1,wine.manual4.2.1,2.50E-05
poor,14,wine.manual4.2.14,5.00E-05
poor,2,wine.manual4.2.2,0.00015
poor,30,wine.manual4.2.30,2.50E-05
poor,4,wine.manual4.2.4,2.50E-05
poor,7,wine.manual4.2.7,0
good,16,wine.manual4.3.16,0
good,2,wine.manual4.3.2,0
good,30,wine.manual4.3.30,0
good,4,wine.manual4.3.4,2.50E-05
good,7,wine.manual4.3.7,5.00E-05
good,1,wine.manual9.1.1,0.00015
good,14,wine.manual9.1.14,0.00025
good,2,wine.manual9.1.2,2.50E-05
good,30,wine.manual9.1.30,0.000221574
good,4,wine.manual9.1.4,2.50E-05
good,60,wine.manual9.1.60,0.000675
good,7,wine.manual9.1.7,0.000975
good,70,wine.manual9.1.70,0.000135827
good,1,wine.manual9.2.1,0.000175
good,14,wine.manual9.2.14,5.00E-05
good,2,wine.manual9.2.2,0
good,30,wine.manual9.2.30,0.000125
good,4,wine.manual9.2.4,0.00015
good,60,wine.manual9.2.60,0
good,7,wine.manual9.2.7,2.50E-05
good,70,wine.manual9.2.70,0
intermediate,16,wine.manual9.3.16,6.74E-05
intermediate,2,wine.manual9.3.2,0
intermediate,30,wine.manual9.3.30,5.00E-05
intermediate,4,wine.manual9.3.4,2.50E-05
intermediate,60,wine.manual9.3.60,0.000175
intermediate,7,wine.manual9.3.7,0
intermediate,70,wine.manual9.3.70,2.50E-05
