Quanlity,Day,Sample,Abun
good,1,wine.manual10.1.1,0.619675
good,14,wine.manual10.1.14,0.639325
good,2,wine.manual10.1.2,0.7536
good,30,wine.manual10.1.30,0.618
good,4,wine.manual10.1.4,0.6806
good,60,wine.manual10.1.60,0.6448
good,7,wine.manual10.1.7,0.612175
good,70,wine.manual10.1.70,0.7036
good,1,wine.manual10.2.1,0.51235
good,14,wine.manual10.2.14,0.29065
good,2,wine.manual10.2.2,0.49645
good,30,wine.manual10.2.30,0.403741746
good,4,wine.manual10.2.4,0.381582887
good,60,wine.manual10.2.60,0.458885542
good,7,wine.manual10.2.7,0.374505638
good,70,wine.manual10.2.70,0.590483539
good,14,wine.manual10.3.14,0.1429
good,2,wine.manual10.3.2,0.255125
good,30,wine.manual10.3.30,0.21895
good,4,wine.manual10.3.4,0.189975
good,60,wine.manual10.3.60,0.2159
good,7,wine.manual10.3.7,0.0872
good,70,wine.manual10.3.70,0.3115
poor,1,wine.manual3.1.1,0.443275
poor,14,wine.manual3.1.14,0.04655
poor,2,wine.manual3.1.2,0.223025
poor,30,wine.manual3.1.30,0.107375
poor,4,wine.manual3.1.4,0.0892
poor,60,wine.manual3.1.60,0.086425
poor,7,wine.manual3.1.7,0.06865
poor,1,wine.manual3.2.1,0.35475
poor,14,wine.manual3.2.14,0.073125
poor,2,wine.manual3.2.2,0.417375
poor,30,wine.manual3.2.30,0.123075
poor,4,wine.manual3.2.4,0.108975
poor,7,wine.manual3.2.7,0.091525
intermediate,16,wine.manual3.3.16,0.129475
intermediate,2,wine.manual3.3.2,0.11255
intermediate,30,wine.manual3.3.30,0.108775
intermediate,4,wine.manual3.3.4,0.082025
intermediate,60,wine.manual3.3.60,0.1704
intermediate,7,wine.manual3.3.7,0.043525
intermediate,70,wine.manual3.3.70,0.198125
poor,1,wine.manual4.1.1,0.3787
poor,14,wine.manual4.1.14,0.072425
poor,2,wine.manual4.1.2,0.24205
poor,30,wine.manual4.1.30,0.129225
poor,4,wine.manual4.1.4,0.08995
poor,7,wine.manual4.1.7,0.050875
poor,1,wine.manual4.2.1,0.3973
poor,14,wine.manual4.2.14,0.096725
poor,2,wine.manual4.2.2,0.1732
poor,30,wine.manual4.2.30,0.205225
poor,4,wine.manual4.2.4,0.1509
poor,7,wine.manual4.2.7,0.078675
good,16,wine.manual4.3.16,0.087775
good,2,wine.manual4.3.2,0.3271
good,30,wine.manual4.3.30,0.16085
good,4,wine.manual4.3.4,0.195275
good,7,wine.manual4.3.7,0.162475
good,1,wine.manual9.1.1,0.61185
good,14,wine.manual9.1.14,0.47835
good,2,wine.manual9.1.2,0.617275
good,30,wine.manual9.1.30,0.927212969
good,4,wine.manual9.1.4,0.593425
good,60,wine.manual9.1.60,0.7017
good,7,wine.manual9.1.7,0.473825
good,70,wine.manual9.1.70,0.443609363
good,1,wine.manual9.2.1,0.65635
good,14,wine.manual9.2.14,0.27395
good,2,wine.manual9.2.2,0.30605
good,30,wine.manual9.2.30,0.341
good,4,wine.manual9.2.4,0.276975
good,60,wine.manual9.2.60,0.42975
good,7,wine.manual9.2.7,0.1135
good,70,wine.manual9.2.70,0.440175
intermediate,16,wine.manual9.3.16,0.249544749
intermediate,2,wine.manual9.3.2,0.365525
intermediate,30,wine.manual9.3.30,0.3005
intermediate,4,wine.manual9.3.4,0.306525
intermediate,60,wine.manual9.3.60,0.328825
intermediate,7,wine.manual9.3.7,0.229425
intermediate,70,wine.manual9.3.70,0.36655
