Quanlity,Day,Sample,Abun
good,1,wine.manual10.1.1,0.047325
good,14,wine.manual10.1.14,0.01395
good,2,wine.manual10.1.2,0.02645
good,30,wine.manual10.1.30,0.0221
good,4,wine.manual10.1.4,0.02705
good,60,wine.manual10.1.60,0.019375
good,7,wine.manual10.1.7,0.0209
good,70,wine.manual10.1.70,0.06605
good,1,wine.manual10.2.1,0.089475
good,14,wine.manual10.2.14,0.030325
good,2,wine.manual10.2.2,0.061175
good,30,wine.manual10.2.30,0.053851798
good,4,wine.manual10.2.4,0.054259955
good,60,wine.manual10.2.60,0.06378012
good,7,wine.manual10.2.7,0.047524105
good,70,wine.manual10.2.70,0.06723251
good,14,wine.manual10.3.14,0.0118
good,2,wine.manual10.3.2,0.017775
good,30,wine.manual10.3.30,0.011225
good,4,wine.manual10.3.4,0.01455
good,60,wine.manual10.3.60,0.015675
good,7,wine.manual10.3.7,0.004125
good,70,wine.manual10.3.70,0.02085
poor,1,wine.manual3.1.1,0.05235
poor,14,wine.manual3.1.14,0.00395
poor,2,wine.manual3.1.2,0.015225
poor,30,wine.manual3.1.30,0.009275
poor,4,wine.manual3.1.4,0.0066
poor,60,wine.manual3.1.60,0.0031
poor,7,wine.manual3.1.7,0.005
poor,1,wine.manual3.2.1,0.08005
poor,14,wine.manual3.2.14,0.0034
poor,2,wine.manual3.2.2,0.05235
poor,30,wine.manual3.2.30,0.012325
poor,4,wine.manual3.2.4,0.010025
poor,7,wine.manual3.2.7,0.00725
intermediate,16,wine.manual3.3.16,0.006225
intermediate,2,wine.manual3.3.2,0.009125
intermediate,30,wine.manual3.3.30,0.005975
intermediate,4,wine.manual3.3.4,0.0071
intermediate,60,wine.manual3.3.60,0.015975
intermediate,7,wine.manual3.3.7,0.00225
intermediate,70,wine.manual3.3.70,0.0185
poor,1,wine.manual4.1.1,0.034525
poor,14,wine.manual4.1.14,0.00335
poor,2,wine.manual4.1.2,0.0167
poor,30,wine.manual4.1.30,0.003925
poor,4,wine.manual4.1.4,0.005825
poor,7,wine.manual4.1.7,0.002475
poor,1,wine.manual4.2.1,0.03825
poor,14,wine.manual4.2.14,0.00505
poor,2,wine.manual4.2.2,0.011125
poor,30,wine.manual4.2.30,0.008875
poor,4,wine.manual4.2.4,0.0133
poor,7,wine.manual4.2.7,0.00425
good,16,wine.manual4.3.16,0.004625
good,2,wine.manual4.3.2,0.038225
good,30,wine.manual4.3.30,0.013
good,4,wine.manual4.3.4,0.0221
good,7,wine.manual4.3.7,0.019
good,1,wine.manual9.1.1,0.080325
good,14,wine.manual9.1.14,0.040225
good,2,wine.manual9.1.2,0.0651
good,30,wine.manual9.1.30,0.005945567
good,4,wine.manual9.1.4,0.06255
good,60,wine.manual9.1.60,0.00725
good,7,wine.manual9.1.7,0.0469
good,70,wine.manual9.1.70,0.01670666
good,1,wine.manual9.2.1,0.02875
good,14,wine.manual9.2.14,0.0089
good,2,wine.manual9.2.2,0.0115
good,30,wine.manual9.2.30,0.009175
good,4,wine.manual9.2.4,0.01055
good,60,wine.manual9.2.60,0.00985
good,7,wine.manual9.2.7,0.00355
good,70,wine.manual9.2.70,0.019225
intermediate,16,wine.manual9.3.16,0.005766507
intermediate,2,wine.manual9.3.2,0.010025
intermediate,30,wine.manual9.3.30,0.01205
intermediate,4,wine.manual9.3.4,0.00885
intermediate,60,wine.manual9.3.60,0.0132
intermediate,7,wine.manual9.3.7,0.010175
intermediate,70,wine.manual9.3.70,0.014425
