Quanlity,Day,Sample,Abun
good,1,wine.manual10.1.1,0.0123
good,14,wine.manual10.1.14,0.0114
good,2,wine.manual10.1.2,0.014025
good,30,wine.manual10.1.30,0.01265
good,4,wine.manual10.1.4,0.0128
good,60,wine.manual10.1.60,0.0118
good,7,wine.manual10.1.7,0.012025
good,70,wine.manual10.1.70,0.0138
good,1,wine.manual10.2.1,0.013225
good,14,wine.manual10.2.14,0.008975
good,2,wine.manual10.2.2,0.01285
good,30,wine.manual10.2.30,0.011885547
good,4,wine.manual10.2.4,0.011677035
good,60,wine.manual10.2.60,0.013253012
good,7,wine.manual10.2.7,0.010557281
good,70,wine.manual10.2.70,0.016306584
good,14,wine.manual10.3.14,0.004075
good,2,wine.manual10.3.2,0.00695
good,30,wine.manual10.3.30,0.005
good,4,wine.manual10.3.4,0.005
good,60,wine.manual10.3.60,0.00525
good,7,wine.manual10.3.7,0.0017
good,70,wine.manual10.3.70,0.0079
poor,1,wine.manual3.1.1,0.008
poor,14,wine.manual3.1.14,0.00175
poor,2,wine.manual3.1.2,0.003775
poor,30,wine.manual3.1.30,0.0018
poor,4,wine.manual3.1.4,0.00165
poor,60,wine.manual3.1.60,0.001825
poor,7,wine.manual3.1.7,0.001
poor,1,wine.manual3.2.1,0.020625
poor,14,wine.manual3.2.14,0.00255
poor,2,wine.manual3.2.2,0.02
poor,30,wine.manual3.2.30,0.00385
poor,4,wine.manual3.2.4,0.00495
poor,7,wine.manual3.2.7,0.001425
intermediate,16,wine.manual3.3.16,0.00295
intermediate,2,wine.manual3.3.2,0.0023
intermediate,30,wine.manual3.3.30,0.001775
intermediate,4,wine.manual3.3.4,0.001525
intermediate,60,wine.manual3.3.60,0.006875
intermediate,7,wine.manual3.3.7,0.000675
intermediate,70,wine.manual3.3.70,0.006275
poor,1,wine.manual4.1.1,0.0055
poor,14,wine.manual4.1.14,0.001075
poor,2,wine.manual4.1.2,0.00365
poor,30,wine.manual4.1.30,0.00165
poor,4,wine.manual4.1.4,0.001225
poor,7,wine.manual4.1.7,0.0006
poor,1,wine.manual4.2.1,0.009075
poor,14,wine.manual4.2.14,0.001325
poor,2,wine.manual4.2.2,0.00405
poor,30,wine.manual4.2.30,0.0033
poor,4,wine.manual4.2.4,0.00265
poor,7,wine.manual4.2.7,0.0009
good,16,wine.manual4.3.16,0.0015
good,2,wine.manual4.3.2,0.00515
good,30,wine.manual4.3.30,0.002625
good,4,wine.manual4.3.4,0.00435
good,7,wine.manual4.3.7,0.003375
good,1,wine.manual9.1.1,0.016675
good,14,wine.manual9.1.14,0.0154
good,2,wine.manual9.1.2,0.018225
good,30,wine.manual9.1.30,0.008715241
good,4,wine.manual9.1.4,0.01705
good,60,wine.manual9.1.60,0.006875
good,7,wine.manual9.1.7,0.015225
good,70,wine.manual9.1.70,0.009281478
good,1,wine.manual9.2.1,0.0135
good,14,wine.manual9.2.14,0.0057
good,2,wine.manual9.2.2,0.006775
good,30,wine.manual9.2.30,0.006425
good,4,wine.manual9.2.4,0.007075
good,60,wine.manual9.2.60,0.006525
good,7,wine.manual9.2.7,0.0019
good,70,wine.manual9.2.70,0.010475
intermediate,16,wine.manual9.3.16,0.00536184
intermediate,2,wine.manual9.3.2,0.00755
intermediate,30,wine.manual9.3.30,0.006925
intermediate,4,wine.manual9.3.4,0.008025
intermediate,60,wine.manual9.3.60,0.008
intermediate,7,wine.manual9.3.7,0.004875
intermediate,70,wine.manual9.3.70,0.007575
