Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.005525
good,14,wine.manual10.1.14,0.00375
good,2,wine.manual10.1.2,0.00665
good,30,wine.manual10.1.30,0.0125
good,4,wine.manual10.1.4,0.015375
good,60,wine.manual10.1.60,0.004425
good,7,wine.manual10.1.7,0.002975
good,70,wine.manual10.1.70,0.00225
good,1,wine.manual10.2.1,0.010275
good,14,wine.manual10.2.14,0.005125
good,2,wine.manual10.2.2,0.002325
good,30,wine.manual10.2.30,0.024284666
good,4,wine.manual10.2.4,0.002461825
good,60,wine.manual10.2.60,0.031551205
good,7,wine.manual10.2.7,0.00398758
good,70,wine.manual10.2.70,0.003317901
good,14,wine.manual10.3.14,0.00505
good,2,wine.manual10.3.2,0.01025
good,30,wine.manual10.3.30,0.0015
good,4,wine.manual10.3.4,0.00285
good,60,wine.manual10.3.60,0.0011
good,7,wine.manual10.3.7,0.000875
good,70,wine.manual10.3.70,0.0019
poor,1,wine.manual3.1.1,0.0022
poor,14,wine.manual3.1.14,0.000675
poor,2,wine.manual3.1.2,0.002125
poor,30,wine.manual3.1.30,0.000975
poor,4,wine.manual3.1.4,0.000325
poor,60,wine.manual3.1.60,0.001675
poor,7,wine.manual3.1.7,0.0002
poor,1,wine.manual3.2.1,0.023225
poor,14,wine.manual3.2.14,0.00045
poor,2,wine.manual3.2.2,0.00725
poor,30,wine.manual3.2.30,0.000925
poor,4,wine.manual3.2.4,0.000975
poor,7,wine.manual3.2.7,0.000375
intermediate,16,wine.manual3.3.16,0.0005
intermediate,2,wine.manual3.3.2,0.000725
intermediate,30,wine.manual3.3.30,0.000425
intermediate,4,wine.manual3.3.4,0.000425
intermediate,60,wine.manual3.3.60,0.00125
intermediate,7,wine.manual3.3.7,0.000175
intermediate,70,wine.manual3.3.70,0.00265
poor,1,wine.manual4.1.1,0.002975
poor,14,wine.manual4.1.14,0.000775
poor,2,wine.manual4.1.2,0.0046
poor,30,wine.manual4.1.30,0.002675
poor,4,wine.manual4.1.4,0.0004
poor,7,wine.manual4.1.7,0.000225
poor,1,wine.manual4.2.1,0.012425
poor,14,wine.manual4.2.14,0.000825
poor,2,wine.manual4.2.2,0.006475
poor,30,wine.manual4.2.30,0.00165
poor,4,wine.manual4.2.4,0.002525
poor,7,wine.manual4.2.7,0.00105
good,16,wine.manual4.3.16,0.000575
good,2,wine.manual4.3.2,0.00195
good,30,wine.manual4.3.30,0.001025
good,4,wine.manual4.3.4,0.001725
good,7,wine.manual4.3.7,0.000725
good,1,wine.manual9.1.1,0.001875
good,14,wine.manual9.1.14,0.00255
good,2,wine.manual9.1.2,0.009425
good,30,wine.manual9.1.30,0.000258503
good,4,wine.manual9.1.4,0.0063
good,60,wine.manual9.1.60,0.0047
good,7,wine.manual9.1.7,0.0107
good,70,wine.manual9.1.70,0.000950786
good,1,wine.manual9.2.1,0.011425
good,14,wine.manual9.2.14,0.0021
good,2,wine.manual9.2.2,0.0089
good,30,wine.manual9.2.30,0.001525
good,4,wine.manual9.2.4,0.00945
good,60,wine.manual9.2.60,0.002125
good,7,wine.manual9.2.7,0.001525
good,70,wine.manual9.2.70,0.001475
intermediate,16,wine.manual9.3.16,0.004518783
intermediate,2,wine.manual9.3.2,0.00335
intermediate,30,wine.manual9.3.30,0.00155
intermediate,4,wine.manual9.3.4,0.00185
intermediate,60,wine.manual9.3.60,0.00165
intermediate,7,wine.manual9.3.7,0.00115
intermediate,70,wine.manual9.3.70,0.0017
