Quanlity,Day,Sample,Abun
good,1,wine.manual10.1.1,0.0017
good,14,wine.manual10.1.14,0.0008
good,2,wine.manual10.1.2,0.0019
good,30,wine.manual10.1.30,0.00095
good,4,wine.manual10.1.4,0.0015
good,60,wine.manual10.1.60,0.00065
good,7,wine.manual10.1.7,0.001025
good,70,wine.manual10.1.70,0.001025
good,1,wine.manual10.2.1,0.002425
good,14,wine.manual10.2.14,0.00095
good,2,wine.manual10.2.2,0.0013
good,30,wine.manual10.2.30,0.000953778
good,4,wine.manual10.2.4,0.001330716
good,60,wine.manual10.2.60,0.001355422
good,7,wine.manual10.2.7,0.000980552
good,70,wine.manual10.2.70,0.00162037
good,14,wine.manual10.3.14,0.000175
good,2,wine.manual10.3.2,0.00025
good,30,wine.manual10.3.30,0.000225
good,4,wine.manual10.3.4,0.0005
good,60,wine.manual10.3.60,0.000375
good,7,wine.manual10.3.7,0.00015
good,70,wine.manual10.3.70,0.00055
poor,1,wine.manual3.1.1,0.00055
poor,14,wine.manual3.1.14,0.0003
poor,2,wine.manual3.1.2,0.00025
poor,30,wine.manual3.1.30,5.00E-05
poor,4,wine.manual3.1.4,5.00E-05
poor,60,wine.manual3.1.60,0.00015
poor,7,wine.manual3.1.7,0.0001
poor,1,wine.manual3.2.1,0.008175
poor,14,wine.manual3.2.14,0.000525
poor,2,wine.manual3.2.2,0.007675
poor,30,wine.manual3.2.30,0.0011
poor,4,wine.manual3.2.4,0.0013
poor,7,wine.manual3.2.7,0.000125
intermediate,16,wine.manual3.3.16,0.000425
intermediate,2,wine.manual3.3.2,0.0004
intermediate,30,wine.manual3.3.30,0.000275
intermediate,4,wine.manual3.3.4,0.000125
intermediate,60,wine.manual3.3.60,0.00155
intermediate,7,wine.manual3.3.7,2.50E-05
intermediate,70,wine.manual3.3.70,0.0025
poor,1,wine.manual4.1.1,0.005225
poor,14,wine.manual4.1.14,0.000525
poor,2,wine.manual4.1.2,0.002225
poor,30,wine.manual4.1.30,0.000675
poor,4,wine.manual4.1.4,0.000775
poor,7,wine.manual4.1.7,0.000275
poor,1,wine.manual4.2.1,0.003275
poor,14,wine.manual4.2.14,0.000425
poor,2,wine.manual4.2.2,0.00185
poor,30,wine.manual4.2.30,0.001225
poor,4,wine.manual4.2.4,0.0011
poor,7,wine.manual4.2.7,0.000625
good,16,wine.manual4.3.16,0.000175
good,2,wine.manual4.3.2,0.00145
good,30,wine.manual4.3.30,0.0005
good,4,wine.manual4.3.4,0.00075
good,7,wine.manual4.3.7,0.0006
good,1,wine.manual9.1.1,0.00535
good,14,wine.manual9.1.14,0.002475
good,2,wine.manual9.1.2,0.005275
good,30,wine.manual9.1.30,0.000553935
good,4,wine.manual9.1.4,0.0043
good,60,wine.manual9.1.60,0.000575
good,7,wine.manual9.1.7,0.00305
good,70,wine.manual9.1.70,0.000452755
good,1,wine.manual9.2.1,0.004125
good,14,wine.manual9.2.14,0.00115
good,2,wine.manual9.2.2,0.0016
good,30,wine.manual9.2.30,0.0014
good,4,wine.manual9.2.4,0.00115
good,60,wine.manual9.2.60,0.001575
good,7,wine.manual9.2.7,0.000425
good,70,wine.manual9.2.70,0.002
intermediate,16,wine.manual9.3.16,0.000775612
intermediate,2,wine.manual9.3.2,0.001975
intermediate,30,wine.manual9.3.30,0.0014
intermediate,4,wine.manual9.3.4,0.001375
intermediate,60,wine.manual9.3.60,0.002225
intermediate,7,wine.manual9.3.7,0.0014
intermediate,70,wine.manual9.3.70,0.002225
