Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.0016
good,14,wine.manual10.1.14,0.001325
good,2,wine.manual10.1.2,0.00145
good,30,wine.manual10.1.30,0.00095
good,4,wine.manual10.1.4,0.001675
good,60,wine.manual10.1.60,0.000875
good,7,wine.manual10.1.7,0.001375
good,70,wine.manual10.1.70,0.001775
good,1,wine.manual10.2.1,0.0002
good,14,wine.manual10.2.14,7.50E-05
good,2,wine.manual10.2.2,0.000175
good,30,wine.manual10.2.30,0.000146735
good,4,wine.manual10.2.4,9.98E-05
good,60,wine.manual10.2.60,0.000225904
good,7,wine.manual10.2.7,0.00013074
good,70,wine.manual10.2.70,0.000205761
good,14,wine.manual10.3.14,0.0002
good,2,wine.manual10.3.2,0.000525
good,30,wine.manual10.3.30,0.00045
good,4,wine.manual10.3.4,0.000225
good,60,wine.manual10.3.60,0.0005
good,7,wine.manual10.3.7,2.50E-05
good,70,wine.manual10.3.70,0.000475
poor,1,wine.manual3.1.1,0.001775
poor,14,wine.manual3.1.14,0.000225
poor,2,wine.manual3.1.2,0.000875
poor,30,wine.manual3.1.30,0.00045
poor,4,wine.manual3.1.4,0.000325
poor,60,wine.manual3.1.60,0.000525
poor,7,wine.manual3.1.7,0.0002
poor,1,wine.manual3.2.1,0.0083
poor,14,wine.manual3.2.14,0.0003
poor,2,wine.manual3.2.2,0.00625
poor,30,wine.manual3.2.30,0.000825
poor,4,wine.manual3.2.4,0.001025
poor,7,wine.manual3.2.7,0.0004
intermediate,16,wine.manual3.3.16,0.0003
intermediate,2,wine.manual3.3.2,0.00035
intermediate,30,wine.manual3.3.30,0.000575
intermediate,4,wine.manual3.3.4,0.00035
intermediate,60,wine.manual3.3.60,0.0012
intermediate,7,wine.manual3.3.7,0.0001
intermediate,70,wine.manual3.3.70,0.00105
poor,1,wine.manual4.1.1,0.002275
poor,14,wine.manual4.1.14,0.0003
poor,2,wine.manual4.1.2,0.00145
poor,30,wine.manual4.1.30,0.0005
poor,4,wine.manual4.1.4,0.00045
poor,7,wine.manual4.1.7,0.000225
poor,1,wine.manual4.2.1,0.003925
poor,14,wine.manual4.2.14,0.00095
poor,2,wine.manual4.2.2,0.00145
poor,30,wine.manual4.2.30,0.001775
poor,4,wine.manual4.2.4,0.00105
poor,7,wine.manual4.2.7,0.0004
good,16,wine.manual4.3.16,0.000525
good,2,wine.manual4.3.2,0.0018
good,30,wine.manual4.3.30,0.000875
good,4,wine.manual4.3.4,0.00105
good,7,wine.manual4.3.7,0.00105
good,1,wine.manual9.1.1,0.001725
good,14,wine.manual9.1.14,0.00125
good,2,wine.manual9.1.2,0.001425
good,30,wine.manual9.1.30,0
good,4,wine.manual9.1.4,0.0013
good,60,wine.manual9.1.60,0.000175
good,7,wine.manual9.1.7,0.0013
good,70,wine.manual9.1.70,0.000362204
good,1,wine.manual9.2.1,0.001
good,14,wine.manual9.2.14,0.000275
good,2,wine.manual9.2.2,0.00055
good,30,wine.manual9.2.30,0.000375
good,4,wine.manual9.2.4,0.000675
good,60,wine.manual9.2.60,0.000225
good,7,wine.manual9.2.7,7.50E-05
good,70,wine.manual9.2.70,0.00065
intermediate,16,wine.manual9.3.16,0.000269778
intermediate,2,wine.manual9.3.2,0.0004
intermediate,30,wine.manual9.3.30,0.00065
intermediate,4,wine.manual9.3.4,0.0004
intermediate,60,wine.manual9.3.60,0.0005
intermediate,7,wine.manual9.3.7,0.000275
intermediate,70,wine.manual9.3.70,0.00045
