Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.0069
good,14,wine.manual10.1.14,0.0071
good,2,wine.manual10.1.2,0.01065
good,30,wine.manual10.1.30,0.00785
good,4,wine.manual10.1.4,0.007725
good,60,wine.manual10.1.60,0.0147
good,7,wine.manual10.1.7,0.006825
good,70,wine.manual10.1.70,0.010175
good,1,wine.manual10.2.1,0.01935
good,14,wine.manual10.2.14,0.017375
good,2,wine.manual10.2.2,0.021525
good,30,wine.manual10.2.30,0.019148936
good,4,wine.manual10.2.4,0.02049303
good,60,wine.manual10.2.60,0.023268072
good,7,wine.manual10.2.7,0.020951136
good,70,wine.manual10.2.70,0.018878601
good,14,wine.manual10.3.14,0.00245
good,2,wine.manual10.3.2,0.004075
good,30,wine.manual10.3.30,0.0027
good,4,wine.manual10.3.4,0.0035
good,60,wine.manual10.3.60,0.00375
good,7,wine.manual10.3.7,0.001225
good,70,wine.manual10.3.70,0.003325
poor,1,wine.manual3.1.1,0.008925
poor,14,wine.manual3.1.14,0.002575
poor,2,wine.manual3.1.2,0.0034
poor,30,wine.manual3.1.30,0.00185
poor,4,wine.manual3.1.4,0.00145
poor,60,wine.manual3.1.60,0.001875
poor,7,wine.manual3.1.7,0.001325
poor,1,wine.manual3.2.1,0.01265
poor,14,wine.manual3.2.14,0.002375
poor,2,wine.manual3.2.2,0.009775
poor,30,wine.manual3.2.30,0.005625
poor,4,wine.manual3.2.4,0.004725
poor,7,wine.manual3.2.7,0.001675
intermediate,16,wine.manual3.3.16,0.0029
intermediate,2,wine.manual3.3.2,0.004225
intermediate,30,wine.manual3.3.30,0.003675
intermediate,4,wine.manual3.3.4,0.004125
intermediate,60,wine.manual3.3.60,0.005875
intermediate,7,wine.manual3.3.7,0.002325
intermediate,70,wine.manual3.3.70,0.00505
poor,1,wine.manual4.1.1,0.022675
poor,14,wine.manual4.1.14,0.002525
poor,2,wine.manual4.1.2,0.008575
poor,30,wine.manual4.1.30,0.0028
poor,4,wine.manual4.1.4,0.003075
poor,7,wine.manual4.1.7,0.00215
poor,1,wine.manual4.2.1,0.0236
poor,14,wine.manual4.2.14,0.003775
poor,2,wine.manual4.2.2,0.0084
poor,30,wine.manual4.2.30,0.00635
poor,4,wine.manual4.2.4,0.00675
poor,7,wine.manual4.2.7,0.003225
good,16,wine.manual4.3.16,0.00225
good,2,wine.manual4.3.2,0.009875
good,30,wine.manual4.3.30,0.004825
good,4,wine.manual4.3.4,0.007375
good,7,wine.manual4.3.7,0.005675
good,1,wine.manual9.1.1,0.004075
good,14,wine.manual9.1.14,0.0067
good,2,wine.manual9.1.2,0.00475
good,30,wine.manual9.1.30,0.000406219
good,4,wine.manual9.1.4,0.0081
good,60,wine.manual9.1.60,0.001125
good,7,wine.manual9.1.7,0.004575
good,70,wine.manual9.1.70,0.002490153
good,1,wine.manual9.2.1,0.00155
good,14,wine.manual9.2.14,0.000575
good,2,wine.manual9.2.2,0.00075
good,30,wine.manual9.2.30,0.0008
good,4,wine.manual9.2.4,0.000775
good,60,wine.manual9.2.60,0.001075
good,7,wine.manual9.2.7,0.00045
good,70,wine.manual9.2.70,0.001475
intermediate,16,wine.manual9.3.16,0.000843057
intermediate,2,wine.manual9.3.2,0.0009
intermediate,30,wine.manual9.3.30,0.001325
intermediate,4,wine.manual9.3.4,0.000725
intermediate,60,wine.manual9.3.60,0.0013
intermediate,7,wine.manual9.3.7,0.00085
intermediate,70,wine.manual9.3.70,0.001125
