Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.001933333
good,14,wine.manual10.1.14,0.001133333
good,2,wine.manual10.1.2,0.001933333
good,30,wine.manual10.1.30,0.0009
good,4,wine.manual10.1.4,0.001433333
good,7,wine.manual10.1.7,0.001033333
good,70,wine.manual10.1.70,0.001147588
good,1,wine.manual10.2.1,0.003566667
good,14,wine.manual10.2.14,0.002407061
good,2,wine.manual10.2.2,0.004033333
good,30,wine.manual10.2.30,0.002191461
good,4,wine.manual10.2.4,0.0034
good,60,wine.manual10.2.60,0.001666667
good,7,wine.manual10.2.7,0.002303373
good,70,wine.manual10.2.70,0.001446682
good,14,wine.manual10.3.14,0.000951475
good,2,wine.manual10.3.2,0.0021
good,30,wine.manual10.3.30,0.000433333
good,4,wine.manual10.3.4,0.001433333
good,60,wine.manual10.3.60,0.000766667
good,7,wine.manual10.3.7,0.000842202
good,70,wine.manual10.3.70,0.000321298
poor,1,wine.manual3.1.1,0.001143785
poor,14,wine.manual3.1.14,0.000198491
poor,2,wine.manual3.1.2,0.002100321
poor,30,wine.manual3.1.30,0.00073229
poor,4,wine.manual3.1.4,0.001092334
poor,60,wine.manual3.1.60,0.0005
poor,7,wine.manual3.1.7,0.001166667
poor,1,wine.manual3.2.1,0.00095689
poor,14,wine.manual3.2.14,0.0004
poor,2,wine.manual3.2.2,0.001714435
poor,30,wine.manual3.2.30,0.000198555
poor,4,wine.manual3.2.4,0.001166667
poor,7,wine.manual3.2.7,0.0013
intermediate,16,wine.manual3.3.16,0.000466667
intermediate,2,wine.manual3.3.2,0.001026905
intermediate,30,wine.manual3.3.30,0.000533333
intermediate,4,wine.manual3.3.4,0.000833333
intermediate,60,wine.manual3.3.60,0.000416367
intermediate,7,wine.manual3.3.7,0.000566667
intermediate,70,wine.manual3.3.70,0.000455598
poor,1,wine.manual4.1.1,0.001067393
poor,14,wine.manual4.1.14,0.000304888
poor,2,wine.manual4.1.2,0.002171003
poor,30,wine.manual4.1.30,0.000192234
poor,4,wine.manual4.1.4,0.001266667
poor,7,wine.manual4.1.7,0.0005
poor,1,wine.manual4.2.1,0.0016
poor,14,wine.manual4.2.14,0.000766667
poor,2,wine.manual4.2.2,0.00197804
poor,30,wine.manual4.2.30,0.0002
poor,4,wine.manual4.2.4,0.002317897
poor,7,wine.manual4.2.7,0.000844335
good,16,wine.manual4.3.16,0.000433589
good,2,wine.manual4.3.2,0.005983573
good,30,wine.manual4.3.30,0.000999054
good,4,wine.manual4.3.4,0.001892048
good,7,wine.manual4.3.7,0.001199952
good,1,wine.manual9.1.1,0.002028678
good,14,wine.manual9.1.14,0.001233333
good,2,wine.manual9.1.2,0.002361391
good,30,wine.manual9.1.30,0.002858559
good,4,wine.manual9.1.4,0.002247763
good,7,wine.manual9.1.7,0.0009
good,70,wine.manual9.1.70,0.001102536
good,1,wine.manual9.2.1,0.003252244
good,14,wine.manual9.2.14,0.001
good,2,wine.manual9.2.2,0.001266667
good,30,wine.manual9.2.30,0.000810851
good,4,wine.manual9.2.4,0.001333333
good,60,wine.manual9.2.60,0.001485455
good,7,wine.manual9.2.7,0.000566667
good,70,wine.manual9.2.70,0.000454752
intermediate,16,wine.manual9.3.16,0.001166667
intermediate,2,wine.manual9.3.2,0.001533333
intermediate,30,wine.manual9.3.30,0.000633333
intermediate,4,wine.manual9.3.4,0.001533333
intermediate,60,wine.manual9.3.60,0.000769795
intermediate,7,wine.manual9.3.7,0.000633333
intermediate,70,wine.manual9.3.70,0.000530605
