Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.003533333
good,14,wine.manual10.1.14,0.004
good,2,wine.manual10.1.2,0.004566667
good,30,wine.manual10.1.30,0.0039
good,4,wine.manual10.1.4,0.004866667
good,7,wine.manual10.1.7,0.003466667
good,70,wine.manual10.1.70,0.003196852
good,1,wine.manual10.2.1,0.0036
good,14,wine.manual10.2.14,0.002216024
good,2,wine.manual10.2.2,0.0037
good,30,wine.manual10.2.30,0.001314876
good,4,wine.manual10.2.4,0.002966667
good,60,wine.manual10.2.60,0.001633333
good,7,wine.manual10.2.7,0.002591295
good,70,wine.manual10.2.70,0.001065976
good,14,wine.manual10.3.14,0.000951475
good,2,wine.manual10.3.2,0.004966667
good,30,wine.manual10.3.30,0.0018
good,4,wine.manual10.3.4,0.005
good,60,wine.manual10.3.60,0.002033333
good,7,wine.manual10.3.7,0.004440701
good,70,wine.manual10.3.70,0.001486003
poor,1,wine.manual3.1.1,0.002767221
poor,14,wine.manual3.1.14,0.000992457
poor,2,wine.manual3.1.2,0.003582901
poor,30,wine.manual3.1.30,0.001657288
poor,4,wine.manual3.1.4,0.001092334
poor,60,wine.manual3.1.60,0.0006
poor,7,wine.manual3.1.7,0.002033333
poor,1,wine.manual3.2.1,0.000906527
poor,14,wine.manual3.2.14,0.001
poor,2,wine.manual3.2.2,0.001453543
poor,30,wine.manual3.2.30,0.001191327
poor,4,wine.manual3.2.4,0.002533333
poor,7,wine.manual3.2.7,0.0021
intermediate,16,wine.manual3.3.16,0.0026
intermediate,2,wine.manual3.3.2,0.002135962
intermediate,30,wine.manual3.3.30,0.0012
intermediate,4,wine.manual3.3.4,0.000866667
intermediate,60,wine.manual3.3.60,0.000757031
intermediate,7,wine.manual3.3.7,0.000966667
intermediate,70,wine.manual3.3.70,0.002126125
poor,1,wine.manual4.1.1,0.003533439
poor,14,wine.manual4.1.14,0.002201972
poor,2,wine.manual4.1.2,0.00256902
poor,30,wine.manual4.1.30,0.002345252
poor,4,wine.manual4.1.4,0.003066667
poor,7,wine.manual4.1.7,0.0029
poor,1,wine.manual4.2.1,0.003766667
poor,14,wine.manual4.2.14,0.002566667
poor,2,wine.manual4.2.2,0.004117552
poor,30,wine.manual4.2.30,0.002
poor,4,wine.manual4.2.4,0.003452187
poor,7,wine.manual4.2.7,0.003300583
good,16,wine.manual4.3.16,0.002746062
good,2,wine.manual4.3.2,0.010294719
good,30,wine.manual4.3.30,0.002208434
good,4,wine.manual4.3.4,0.00236506
good,7,wine.manual4.3.7,0.002839886
good,1,wine.manual9.1.1,0.006039928
good,14,wine.manual9.1.14,0.003333333
good,2,wine.manual9.1.2,0.005854282
good,30,wine.manual9.1.30,0.003925754
good,4,wine.manual9.1.4,0.00207812
good,7,wine.manual9.1.7,0.0023
good,70,wine.manual9.1.70,0.002940096
good,1,wine.manual9.2.1,0.002341616
good,14,wine.manual9.2.14,0.0018
good,2,wine.manual9.2.2,0.002466667
good,30,wine.manual9.2.30,0.001879699
good,4,wine.manual9.2.4,0.002533333
good,60,wine.manual9.2.60,0.001980607
good,7,wine.manual9.2.7,0.001366667
good,70,wine.manual9.2.70,0.001074869
intermediate,16,wine.manual9.3.16,0.0018
intermediate,2,wine.manual9.3.2,0.0041
intermediate,30,wine.manual9.3.30,0.0018
intermediate,4,wine.manual9.3.4,0.003566667
intermediate,60,wine.manual9.3.60,0.001576246
intermediate,7,wine.manual9.3.7,0.000966667
intermediate,70,wine.manual9.3.70,0.001478113
