Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.128633333
good,14,wine.manual10.1.14,0.1317
good,2,wine.manual10.1.2,0.156733333
good,30,wine.manual10.1.30,0.073
good,4,wine.manual10.1.4,0.1809
good,7,wine.manual10.1.7,0.124733333
good,70,wine.manual10.1.70,0.147669986
good,1,wine.manual10.2.1,0.245733333
good,14,wine.manual10.2.14,0.127192145
good,2,wine.manual10.2.2,0.1841
good,30,wine.manual10.2.30,0.078015998
good,4,wine.manual10.2.4,0.169366667
good,60,wine.manual10.2.60,0.0789
good,7,wine.manual10.2.7,0.140313835
good,70,wine.manual10.2.70,0.090227281
good,14,wine.manual10.3.14,0.106565176
good,2,wine.manual10.3.2,0.1915
good,30,wine.manual10.3.30,0.1079
good,4,wine.manual10.3.4,0.161566667
good,60,wine.manual10.3.60,0.104733333
good,7,wine.manual10.3.7,0.151596356
good,70,wine.manual10.3.70,0.074822282
poor,1,wine.manual3.1.1,0.090986238
poor,14,wine.manual3.1.14,0.082638613
poor,2,wine.manual3.1.2,0.11778272
poor,30,wine.manual3.1.30,0.068411316
poor,4,wine.manual3.1.4,0.055580544
poor,60,wine.manual3.1.60,0.0227
poor,7,wine.manual3.1.7,0.0485
poor,1,wine.manual3.2.1,0.073126511
poor,14,wine.manual3.2.14,0.055033333
poor,2,wine.manual3.2.2,0.106854012
poor,30,wine.manual3.2.30,0.052616949
poor,4,wine.manual3.2.4,0.101866667
poor,7,wine.manual3.2.7,0.066533333
intermediate,16,wine.manual3.3.16,0.053833333
intermediate,2,wine.manual3.3.2,0.08650647
intermediate,30,wine.manual3.3.30,0.057466667
intermediate,4,wine.manual3.3.4,0.0663
intermediate,60,wine.manual3.3.60,0.050304705
intermediate,7,wine.manual3.3.7,0.055166667
intermediate,70,wine.manual3.3.70,0.059417594
poor,1,wine.manual4.1.1,0.078545401
poor,14,wine.manual4.1.14,0.042650496
poor,2,wine.manual4.1.2,0.10134964
poor,30,wine.manual4.1.30,0.047212611
poor,4,wine.manual4.1.4,0.077133333
poor,7,wine.manual4.1.7,0.047933333
poor,1,wine.manual4.2.1,0.0725
poor,14,wine.manual4.2.14,0.057566667
poor,2,wine.manual4.2.2,0.094744066
poor,30,wine.manual4.2.30,0.065566667
poor,4,wine.manual4.2.4,0.094047443
poor,7,wine.manual4.2.7,0.075337734
good,16,wine.manual4.3.16,0.042877102
good,2,wine.manual4.3.2,0.169769948
good,30,wine.manual4.3.30,0.051582711
good,4,wine.manual4.3.4,0.065538445
good,7,wine.manual4.3.7,0.068197272
good,1,wine.manual9.1.1,0.118677671
good,14,wine.manual9.1.14,0.091066667
good,2,wine.manual9.1.2,0.106705367
good,30,wine.manual9.1.30,0.113198918
good,4,wine.manual9.1.4,0.097544425
good,7,wine.manual9.1.7,0.061433333
good,70,wine.manual9.1.70,0.078035036
good,1,wine.manual9.2.1,0.268895538
good,14,wine.manual9.2.14,0.167033333
good,2,wine.manual9.2.2,0.195466667
good,30,wine.manual9.2.30,0.200169542
good,4,wine.manual9.2.4,0.205766667
good,60,wine.manual9.2.60,0.169713225
good,7,wine.manual9.2.7,0.1516
good,70,wine.manual9.2.70,0.138947455
intermediate,16,wine.manual9.3.16,0.1307
intermediate,2,wine.manual9.3.2,0.220266667
intermediate,30,wine.manual9.3.30,0.138
intermediate,4,wine.manual9.3.4,0.207666667
intermediate,60,wine.manual9.3.60,0.133687683
intermediate,7,wine.manual9.3.7,0.0988
intermediate,70,wine.manual9.3.70,0.105362896
