Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,3.33E-05
good,14,wine.manual10.1.14,6.67E-05
good,2,wine.manual10.1.2,3.33E-05
good,30,wine.manual10.1.30,3.33E-05
good,4,wine.manual10.1.4,0
good,7,wine.manual10.1.7,0
good,70,wine.manual10.1.70,4.10E-05
good,1,wine.manual10.2.1,6.67E-05
good,14,wine.manual10.2.14,3.82E-05
good,2,wine.manual10.2.2,0.000133333
good,30,wine.manual10.2.30,0
good,4,wine.manual10.2.4,0.000133333
good,60,wine.manual10.2.60,0
good,7,wine.manual10.2.7,0.000143961
good,70,wine.manual10.2.70,0
good,14,wine.manual10.3.14,0
good,2,wine.manual10.3.2,6.67E-05
good,30,wine.manual10.3.30,6.67E-05
good,4,wine.manual10.3.4,0.000133333
good,60,wine.manual10.3.60,3.33E-05
good,7,wine.manual10.3.7,7.66E-05
good,70,wine.manual10.3.70,4.02E-05
poor,1,wine.manual3.1.1,0
poor,14,wine.manual3.1.14,0
poor,2,wine.manual3.1.2,0.000123548
poor,30,wine.manual3.1.30,3.85E-05
poor,4,wine.manual3.1.4,0
poor,60,wine.manual3.1.60,0.0001
poor,7,wine.manual3.1.7,6.67E-05
poor,1,wine.manual3.2.1,5.04E-05
poor,14,wine.manual3.2.14,6.67E-05
poor,2,wine.manual3.2.2,3.73E-05
poor,30,wine.manual3.2.30,0
poor,4,wine.manual3.2.4,3.33E-05
poor,7,wine.manual3.2.7,0.0001
intermediate,16,wine.manual3.3.16,0
intermediate,2,wine.manual3.3.2,0.000123229
intermediate,30,wine.manual3.3.30,0.0001
intermediate,4,wine.manual3.3.4,0
intermediate,60,wine.manual3.3.60,0
intermediate,7,wine.manual3.3.7,3.33E-05
intermediate,70,wine.manual3.3.70,7.59E-05
poor,1,wine.manual4.1.1,0
poor,14,wine.manual4.1.14,0
poor,2,wine.manual4.1.2,3.62E-05
poor,30,wine.manual4.1.30,7.69E-05
poor,4,wine.manual4.1.4,6.67E-05
poor,7,wine.manual4.1.7,0
poor,1,wine.manual4.2.1,0
poor,14,wine.manual4.2.14,0
poor,2,wine.manual4.2.2,4.04E-05
poor,30,wine.manual4.2.30,0
poor,4,wine.manual4.2.4,9.86E-05
poor,7,wine.manual4.2.7,3.84E-05
good,16,wine.manual4.3.16,0
good,2,wine.manual4.3.2,0.00014866
good,30,wine.manual4.3.30,0
good,4,wine.manual4.3.4,5.26E-05
good,7,wine.manual4.3.7,0
good,1,wine.manual9.1.1,0.000138319
good,14,wine.manual9.1.14,3.33E-05
good,2,wine.manual9.1.2,0.000147587
good,30,wine.manual9.1.30,0.000114342
good,4,wine.manual9.1.4,0.000169642
good,7,wine.manual9.1.7,3.33E-05
good,70,wine.manual9.1.70,0
good,1,wine.manual9.2.1,6.50E-05
good,14,wine.manual9.2.14,6.67E-05
good,2,wine.manual9.2.2,6.67E-05
good,30,wine.manual9.2.30,7.37E-05
good,4,wine.manual9.2.4,0.0001
good,60,wine.manual9.2.60,0.000206313
good,7,wine.manual9.2.7,0.0001
good,70,wine.manual9.2.70,0.000124023
intermediate,16,wine.manual9.3.16,0.0001
intermediate,2,wine.manual9.3.2,0.000133333
intermediate,30,wine.manual9.3.30,6.67E-05
intermediate,4,wine.manual9.3.4,3.33E-05
intermediate,60,wine.manual9.3.60,7.33E-05
intermediate,7,wine.manual9.3.7,0.0001
intermediate,70,wine.manual9.3.70,0.000151601
