Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.002033333
good,14,wine.manual10.1.14,0.006133333
good,2,wine.manual10.1.2,0.001666667
good,30,wine.manual10.1.30,0.003933333
good,4,wine.manual10.1.4,0.004866667
good,7,wine.manual10.1.7,0.003366667
good,70,wine.manual10.1.70,0.003442764
good,1,wine.manual10.2.1,0.007266667
good,14,wine.manual10.2.14,0.009933901
good,2,wine.manual10.2.2,0.0077
good,30,wine.manual10.2.30,0.007341393
good,4,wine.manual10.2.4,0.006633333
good,60,wine.manual10.2.60,0.0048
good,7,wine.manual10.2.7,0.006478238
good,70,wine.manual10.2.70,0.002855294
good,14,wine.manual10.3.14,0.000951475
good,2,wine.manual10.3.2,0.0067
good,30,wine.manual10.3.30,0.003633333
good,4,wine.manual10.3.4,0.005866667
good,60,wine.manual10.3.60,0.0031
good,7,wine.manual10.3.7,0.007503254
good,70,wine.manual10.3.70,0.00285152
poor,1,wine.manual3.1.1,0.012175774
poor,14,wine.manual3.1.14,0.01177716
poor,2,wine.manual3.1.2,0.021291492
poor,30,wine.manual3.1.30,0.028289524
poor,4,wine.manual3.1.4,0.021525413
poor,60,wine.manual3.1.60,0.0089
poor,7,wine.manual3.1.7,0.021433333
poor,1,wine.manual3.2.1,0.007252216
poor,14,wine.manual3.2.14,0.0112
poor,2,wine.manual3.2.2,0.011777422
poor,30,wine.manual3.2.30,0.012628068
poor,4,wine.manual3.2.4,0.0186
poor,7,wine.manual3.2.7,0.024833333
intermediate,16,wine.manual3.3.16,0.0163
intermediate,2,wine.manual3.3.2,0.015773259
intermediate,30,wine.manual3.3.30,0.019266667
intermediate,4,wine.manual3.3.4,0.013433333
intermediate,60,wine.manual3.3.60,0.010711988
intermediate,7,wine.manual3.3.7,0.014933333
intermediate,70,wine.manual3.3.70,0.008314666
poor,1,wine.manual4.1.1,0.013986529
poor,14,wine.manual4.1.14,0.018496562
poor,2,wine.manual4.1.2,0.026630966
poor,30,wine.manual4.1.30,0.014302191
poor,4,wine.manual4.1.4,0.025033333
poor,7,wine.manual4.1.7,0.018666667
poor,1,wine.manual4.2.1,0.0164
poor,14,wine.manual4.2.14,0.023766667
poor,2,wine.manual4.2.2,0.027369611
poor,30,wine.manual4.2.30,0.0242
poor,4,wine.manual4.2.4,0.031464221
poor,7,wine.manual4.2.7,0.025138164
good,16,wine.manual4.3.16,0.044033338
good,2,wine.manual4.3.2,0.129557364
good,30,wine.manual4.3.30,0.056367652
good,4,wine.manual4.3.4,0.065433332
good,7,wine.manual4.3.7,0.074277029
good,1,wine.manual9.1.1,0.006408779
good,14,wine.manual9.1.14,0.0044
good,2,wine.manual9.1.2,0.007428543
good,30,wine.manual9.1.30,0.004611808
good,4,wine.manual9.1.4,0.010136138
good,7,wine.manual9.1.7,0.007
good,70,wine.manual9.1.70,0.003307607
good,1,wine.manual9.2.1,0.005073501
good,14,wine.manual9.2.14,0.0019
good,2,wine.manual9.2.2,0.002066667
good,30,wine.manual9.2.30,0.002764264
good,4,wine.manual9.2.4,0.0026
good,60,wine.manual9.2.60,0.001856819
good,7,wine.manual9.2.7,0.0018
good,70,wine.manual9.2.70,0.001322915
intermediate,16,wine.manual9.3.16,0.003
intermediate,2,wine.manual9.3.2,0.001866667
intermediate,30,wine.manual9.3.30,0.002833333
intermediate,4,wine.manual9.3.4,0.001633333
intermediate,60,wine.manual9.3.60,0.00223607
intermediate,7,wine.manual9.3.7,0.001633333
intermediate,70,wine.manual9.3.70,0.001553913
