Day,Quality,Sample,Abun
1,good,wine.manual10.1.1,3.33333E-05
14,good,wine.manual10.1.14,0
2,good,wine.manual10.1.2,3.33333E-05
30,good,wine.manual10.1.30,3.33333E-05
4,good,wine.manual10.1.4,3.33333E-05
7,good,wine.manual10.1.7,0
70,good,wine.manual10.1.70,8.19706E-05
1,good,wine.manual10.2.1,0
14,good,wine.manual10.2.14,7.64146E-05
2,good,wine.manual10.2.2,0
30,good,wine.manual10.2.30,0
4,good,wine.manual10.2.4,3.33333E-05
60,good,wine.manual10.2.60,3.33333E-05
7,good,wine.manual10.2.7,0
70,good,wine.manual10.2.70,0
14,good,wine.manual10.3.14,0
2,good,wine.manual10.3.2,3.33333E-05
30,good,wine.manual10.3.30,3.33333E-05
4,good,wine.manual10.3.4,0
60,good,wine.manual10.3.60,0.000133333
7,good,wine.manual10.3.7,0
70,good,wine.manual10.3.70,4.01623E-05
1,poor,wine.manual3.1.1,7.37926E-05
14,poor,wine.manual3.1.14,0
2,poor,wine.manual3.1.2,0
30,poor,wine.manual3.1.30,7.70832E-05
4,poor,wine.manual3.1.4,0
60,poor,wine.manual3.1.60,0.0002
7,poor,wine.manual3.1.7,0
1,poor,wine.manual3.2.1,5.03626E-05
14,poor,wine.manual3.2.14,0
2,poor,wine.manual3.2.2,3.72703E-05
30,poor,wine.manual3.2.30,0
4,poor,wine.manual3.2.4,0
7,poor,wine.manual3.2.7,3.33333E-05
16,intermediate,wine.manual3.3.16,0
2,intermediate,wine.manual3.3.2,0
30,intermediate,wine.manual3.3.30,0
4,intermediate,wine.manual3.3.4,0
60,intermediate,wine.manual3.3.60,0
7,intermediate,wine.manual3.3.7,0
70,intermediate,wine.manual3.3.70,3.79665E-05
1,poor,wine.manual4.1.1,0
14,poor,wine.manual4.1.14,0
2,poor,wine.manual4.1.2,0
30,poor,wine.manual4.1.30,0
4,poor,wine.manual4.1.4,3.33333E-05
7,poor,wine.manual4.1.7,0
1,poor,wine.manual4.2.1,3.33333E-05
14,poor,wine.manual4.2.14,0
2,poor,wine.manual4.2.2,0
30,poor,wine.manual4.2.30,0
4,poor,wine.manual4.2.4,4.9317E-05
7,poor,wine.manual4.2.7,0
16,good,wine.manual4.3.16,4.81765E-05
2,good,wine.manual4.3.2,3.7165E-05
30,good,wine.manual4.3.30,0
4,good,wine.manual4.3.4,0
7,good,wine.manual4.3.7,3.99984E-05
1,good,wine.manual9.1.1,0
14,good,wine.manual9.1.14,0.000133333
2,good,wine.manual9.1.2,0
30,good,wine.manual9.1.30,0
4,good,wine.manual9.1.4,4.24106E-05
7,good,wine.manual9.1.7,3.33333E-05
70,good,wine.manual9.1.70,8.16693E-05
1,good,wine.manual9.2.1,0
14,good,wine.manual9.2.14,0
2,good,wine.manual9.2.2,0
30,good,wine.manual9.2.30,0.000110571
4,good,wine.manual9.2.4,3.33333E-05
60,good,wine.manual9.2.60,4.12626E-05
7,good,wine.manual9.2.7,3.33333E-05
70,good,wine.manual9.2.70,0.000124023
16,intermediate,wine.manual9.3.16,6.66667E-05
2,intermediate,wine.manual9.3.2,3.33333E-05
30,intermediate,wine.manual9.3.30,0
4,intermediate,wine.manual9.3.4,6.66667E-05
60,intermediate,wine.manual9.3.60,0
7,intermediate,wine.manual9.3.7,0
70,intermediate,wine.manual9.3.70,0
