Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,6.67E-05
good,14,wine.manual10.1.14,3.33E-05
good,2,wine.manual10.1.2,3.33E-05
good,30,wine.manual10.1.30,0.0001
good,4,wine.manual10.1.4,0
good,7,wine.manual10.1.7,3.33E-05
good,70,wine.manual10.1.70,4.10E-05
good,1,wine.manual10.2.1,3.33E-05
good,14,wine.manual10.2.14,0
good,2,wine.manual10.2.2,6.67E-05
good,30,wine.manual10.2.30,0
good,4,wine.manual10.2.4,6.67E-05
good,60,wine.manual10.2.60,0
good,7,wine.manual10.2.7,4.80E-05
good,70,wine.manual10.2.70,0
good,14,wine.manual10.3.14,0
good,2,wine.manual10.3.2,3.33E-05
good,30,wine.manual10.3.30,0
good,4,wine.manual10.3.4,0.0001
good,60,wine.manual10.3.60,0
good,7,wine.manual10.3.7,0
good,70,wine.manual10.3.70,0
poor,1,wine.manual3.1.1,0.000368963
poor,14,wine.manual3.1.14,6.62E-05
poor,2,wine.manual3.1.2,0.000411828
poor,30,wine.manual3.1.30,7.71E-05
poor,4,wine.manual3.1.4,0.00012851
poor,60,wine.manual3.1.60,3.33E-05
poor,7,wine.manual3.1.7,0.0003
poor,1,wine.manual3.2.1,0.000100725
poor,14,wine.manual3.2.14,3.33E-05
poor,2,wine.manual3.2.2,7.45E-05
poor,30,wine.manual3.2.30,7.94E-05
poor,4,wine.manual3.2.4,0.0002
poor,7,wine.manual3.2.7,0.0002
intermediate,16,wine.manual3.3.16,0.000233333
intermediate,2,wine.manual3.3.2,0.000451838
intermediate,30,wine.manual3.3.30,6.67E-05
intermediate,4,wine.manual3.3.4,0.000666667
intermediate,60,wine.manual3.3.60,7.57E-05
intermediate,7,wine.manual3.3.7,3.33E-05
intermediate,70,wine.manual3.3.70,7.59E-05
poor,1,wine.manual4.1.1,0.00022084
poor,14,wine.manual4.1.14,0.000237135
poor,2,wine.manual4.1.2,0.000398017
poor,30,wine.manual4.1.30,0
poor,4,wine.manual4.1.4,0.0006
poor,7,wine.manual4.1.7,0.0003
poor,1,wine.manual4.2.1,0.000166667
poor,14,wine.manual4.2.14,0.0003
poor,2,wine.manual4.2.2,0.000121104
poor,30,wine.manual4.2.30,0
poor,4,wine.manual4.2.4,0.000443853
poor,7,wine.manual4.2.7,0.000498925
good,16,wine.manual4.3.16,9.64E-05
good,2,wine.manual4.3.2,3.72E-05
good,30,wine.manual4.3.30,0.000105164
good,4,wine.manual4.3.4,0.000210228
good,7,wine.manual4.3.7,0.000119995
good,1,wine.manual9.1.1,0.000230532
good,14,wine.manual9.1.14,0
good,2,wine.manual9.1.2,4.92E-05
good,30,wine.manual9.1.30,0
good,4,wine.manual9.1.4,4.24E-05
good,7,wine.manual9.1.7,3.33E-05
good,70,wine.manual9.1.70,0
good,1,wine.manual9.2.1,6.50E-05
good,14,wine.manual9.2.14,3.33E-05
good,2,wine.manual9.2.2,0
good,30,wine.manual9.2.30,0
good,4,wine.manual9.2.4,0.000133333
good,60,wine.manual9.2.60,4.13E-05
good,7,wine.manual9.2.7,6.67E-05
good,70,wine.manual9.2.70,0
intermediate,16,wine.manual9.3.16,6.67E-05
intermediate,2,wine.manual9.3.2,0
intermediate,30,wine.manual9.3.30,3.33E-05
intermediate,4,wine.manual9.3.4,0.0001
intermediate,60,wine.manual9.3.60,0
intermediate,7,wine.manual9.3.7,0
intermediate,70,wine.manual9.3.70,3.79E-05
