Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.0009
good,14,wine.manual10.1.14,0.0012
good,2,wine.manual10.1.2,0.0015
good,30,wine.manual10.1.30,0.000833333
good,4,wine.manual10.1.4,0.0016
good,7,wine.manual10.1.7,0.000966667
good,70,wine.manual10.1.70,0.001065617
good,1,wine.manual10.2.1,0.001066667
good,14,wine.manual10.2.14,0.000802354
good,2,wine.manual10.2.2,0.001
good,30,wine.manual10.2.30,0.000401768
good,4,wine.manual10.2.4,0.0011
good,60,wine.manual10.2.60,0.0004
good,7,wine.manual10.2.7,0.000671817
good,70,wine.manual10.2.70,0.000304565
good,14,wine.manual10.3.14,0.000951475
good,2,wine.manual10.3.2,0.002466667
good,30,wine.manual10.3.30,0.0011
good,4,wine.manual10.3.4,0.0012
good,60,wine.manual10.3.60,0.001
good,7,wine.manual10.3.7,0.001225021
good,70,wine.manual10.3.70,0.00088357
poor,1,wine.manual3.1.1,0.000774822
poor,14,wine.manual3.1.14,0.000198491
poor,2,wine.manual3.1.2,0.000782473
poor,30,wine.manual3.1.30,0.000423957
poor,4,wine.manual3.1.4,0.000449785
poor,60,wine.manual3.1.60,0.0001
poor,7,wine.manual3.1.7,0.000433333
poor,1,wine.manual3.2.1,0.000100725
poor,14,wine.manual3.2.14,0
poor,2,wine.manual3.2.2,0.000223622
poor,30,wine.manual3.2.30,7.94E-05
poor,4,wine.manual3.2.4,0.000166667
poor,7,wine.manual3.2.7,0.000733333
intermediate,16,wine.manual3.3.16,0.000133333
intermediate,2,wine.manual3.3.2,0.000780448
intermediate,30,wine.manual3.3.30,0.000233333
intermediate,4,wine.manual3.3.4,0.0001
intermediate,60,wine.manual3.3.60,0.000189258
intermediate,7,wine.manual3.3.7,0.000266667
intermediate,70,wine.manual3.3.70,0.007099738
poor,1,wine.manual4.1.1,0.00044168
poor,14,wine.manual4.1.14,0.000304888
poor,2,wine.manual4.1.2,0.000723668
poor,30,wine.manual4.1.30,0.000269127
poor,4,wine.manual4.1.4,0.0006
poor,7,wine.manual4.1.7,0.000233333
poor,1,wine.manual4.2.1,0.000466667
poor,14,wine.manual4.2.14,0.0005
poor,2,wine.manual4.2.2,0.000726627
poor,30,wine.manual4.2.30,0.000433333
poor,4,wine.manual4.2.4,0.000690437
poor,7,wine.manual4.2.7,0.000307031
good,16,wine.manual4.3.16,0.000481765
good,2,wine.manual4.3.2,0.001263612
good,30,wine.manual4.3.30,0.000420654
good,4,wine.manual4.3.4,0.000315341
good,7,wine.manual4.3.7,0.00023999
good,1,wine.manual9.1.1,0.000783807
good,14,wine.manual9.1.14,0.000533333
good,2,wine.manual9.1.2,0.000688739
good,30,wine.manual9.1.30,0.001029081
good,4,wine.manual9.1.4,0.000169642
good,7,wine.manual9.1.7,0.0003
good,70,wine.manual9.1.70,0.000408347
good,1,wine.manual9.2.1,0.001105763
good,14,wine.manual9.2.14,0.000333333
good,2,wine.manual9.2.2,0.001133333
good,30,wine.manual9.2.30,0.00070028
good,4,wine.manual9.2.4,0.000833333
good,60,wine.manual9.2.60,0.000495152
good,7,wine.manual9.2.7,0.000366667
good,70,wine.manual9.2.70,0.00037207
intermediate,16,wine.manual9.3.16,0.0005
intermediate,2,wine.manual9.3.2,0.000733333
intermediate,30,wine.manual9.3.30,0.0005
intermediate,4,wine.manual9.3.4,0.000566667
intermediate,60,wine.manual9.3.60,0.000329912
intermediate,7,wine.manual9.3.7,0.000166667
intermediate,70,wine.manual9.3.70,0.000416904
