Day,Quality,Sample,Abun
1,good,wine.manual10.1.1,0.0045
14,good,wine.manual10.1.14,0.0019
2,good,wine.manual10.1.2,0.0014
30,good,wine.manual10.1.30,0.002466667
4,good,wine.manual10.1.4,0.001666667
7,good,wine.manual10.1.7,0.001433333
70,good,wine.manual10.1.70,0.001639411
1,good,wine.manual10.2.1,0.0029
14,good,wine.manual10.2.14,0.00198678
2,good,wine.manual10.2.2,0.003566667
30,good,wine.manual10.2.30,0.003177618
4,good,wine.manual10.2.4,0.006933333
60,good,wine.manual10.2.60,0.002233333
7,good,wine.manual10.2.7,0.007773886
70,good,wine.manual10.2.70,0.003121788
14,good,wine.manual10.3.14,0.00190295
2,good,wine.manual10.3.2,0.004666667
30,good,wine.manual10.3.30,0.0016
4,good,wine.manual10.3.4,0.0106
60,good,wine.manual10.3.60,0.002233333
7,good,wine.manual10.3.7,0.002679734
70,good,wine.manual10.3.70,0.001767139
1,poor,wine.manual3.1.1,0.006788916
14,poor,wine.manual3.1.14,0.001257113
2,poor,wine.manual3.1.2,0.007042254
30,poor,wine.manual3.1.30,0.004740615
4,poor,wine.manual3.1.4,0.00957399
60,poor,wine.manual3.1.60,0.001466667
7,poor,wine.manual3.1.7,0.0048
1,poor,wine.manual3.2.1,0.003928284
14,poor,wine.manual3.2.14,0.001366667
2,poor,wine.manual3.2.2,0.002422571
30,poor,wine.manual3.2.30,0.002541498
4,poor,wine.manual3.2.4,0.0079
7,poor,wine.manual3.2.7,0.0054
16,intermediate,wine.manual3.3.16,0.003566667
2,intermediate,wine.manual3.3.2,0.006490039
30,intermediate,wine.manual3.3.30,0.002166667
4,intermediate,wine.manual3.3.4,0.0111
60,intermediate,wine.manual3.3.60,0.001362656
7,intermediate,wine.manual3.3.7,0.002066667
70,intermediate,wine.manual3.3.70,0.005087513
1,poor,wine.manual4.1.1,0.005373772
14,poor,wine.manual4.1.14,0.004878214
2,poor,wine.manual4.1.2,0.00568079
30,poor,wine.manual4.1.30,0.000422914
4,poor,wine.manual4.1.4,0.007533333
7,poor,wine.manual4.1.7,0.004866667
1,poor,wine.manual4.2.1,0.002733333
14,poor,wine.manual4.2.14,0.008833333
2,poor,wine.manual4.2.2,0.003996448
30,poor,wine.manual4.2.30,0.001866667
4,poor,wine.manual4.2.4,0.020515855
7,poor,wine.manual4.2.7,0.003607614
16,good,wine.manual4.3.16,0.004721299
2,good,wine.manual4.3.2,0.005203107
30,good,wine.manual4.3.30,0.002208434
4,good,wine.manual4.3.4,0.008987229
7,good,wine.manual4.3.7,0.005839766
1,good,wine.manual9.1.1,0.003688506
14,good,wine.manual9.1.14,0.003166667
2,good,wine.manual9.1.2,0.002213804
30,good,wine.manual9.1.30,0.001181538
4,good,wine.manual9.1.4,0.006404004
7,good,wine.manual9.1.7,0.0036
70,good,wine.manual9.1.70,0.003920127
1,good,wine.manual9.2.1,0.002731885
14,good,wine.manual9.2.14,0.003033333
2,good,wine.manual9.2.2,0.003433333
30,good,wine.manual9.2.30,0.00409111
4,good,wine.manual9.2.4,0.008666667
60,good,wine.manual9.2.60,0.002063132
7,good,wine.manual9.2.7,0.003266667
70,good,wine.manual9.2.70,0.002273761
16,intermediate,wine.manual9.3.16,0.0022
2,intermediate,wine.manual9.3.2,0.0029
30,intermediate,wine.manual9.3.30,0.0016
4,intermediate,wine.manual9.3.4,0.0092
60,intermediate,wine.manual9.3.60,0.001392962
7,intermediate,wine.manual9.3.7,0.000866667
70,intermediate,wine.manual9.3.70,0.00113701
