Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.794733333
good,14,wine.manual10.1.14,0.7417
good,2,wine.manual10.1.2,0.7327
good,30,wine.manual10.1.30,0.8195
good,4,wine.manual10.1.4,0.691066667
good,7,wine.manual10.1.7,0.773866667
good,70,wine.manual10.1.70,0.762490266
good,1,wine.manual10.2.1,0.590133333
good,14,wine.manual10.2.14,0.722232835
good,2,wine.manual10.2.2,0.6515
good,30,wine.manual10.2.30,0.826509368
good,4,wine.manual10.2.4,0.671
good,60,wine.manual10.2.60,0.848333333
good,7,wine.manual10.2.7,0.707999424
good,70,wine.manual10.2.70,0.850649103
good,14,wine.manual10.3.14,0.79923882
good,2,wine.manual10.3.2,0.661033333
good,30,wine.manual10.3.30,0.837966667
good,4,wine.manual10.3.4,0.6961
good,60,wine.manual10.3.60,0.837166667
good,7,wine.manual10.3.7,0.730495368
good,70,wine.manual10.3.70,0.875858468
poor,1,wine.manual3.1.1,0.662398996
poor,14,wine.manual3.1.14,0.572250893
poor,2,wine.manual3.1.2,0.555184911
poor,30,wine.manual3.1.30,0.640753873
poor,4,wine.manual3.1.4,0.651481077
poor,60,wine.manual3.1.60,0.860833333
poor,7,wine.manual3.1.7,0.707633333
poor,1,wine.manual3.2.1,0.534800564
poor,14,wine.manual3.2.14,0.6716
poor,2,wine.manual3.2.2,0.450672729
poor,30,wine.manual3.2.30,0.670121515
poor,4,wine.manual3.2.4,0.4837
poor,7,wine.manual3.2.7,0.660733333
intermediate,16,wine.manual3.3.16,0.7194
intermediate,2,wine.manual3.3.2,0.597001438
intermediate,30,wine.manual3.3.30,0.699166667
intermediate,4,wine.manual3.3.4,0.6443
intermediate,60,wine.manual3.3.60,0.68469662
intermediate,7,wine.manual3.3.7,0.7177
intermediate,70,wine.manual3.3.70,0.63890049
poor,1,wine.manual4.1.1,0.64341713
poor,14,wine.manual4.1.14,0.727328162
poor,2,wine.manual4.1.2,0.560444332
poor,30,wine.manual4.1.30,0.788465975
poor,4,wine.manual4.1.4,0.600566667
poor,7,wine.manual4.1.7,0.742633333
poor,1,wine.manual4.2.1,0.6303
poor,14,wine.manual4.2.14,0.687866667
poor,2,wine.manual4.2.2,0.526158566
poor,30,wine.manual4.2.30,0.7224
poor,4,wine.manual4.2.4,0.481629432
poor,7,wine.manual4.2.7,0.672359533
good,16,wine.manual4.3.16,0.728766199
good,2,wine.manual4.3.2,0.039432118
good,30,wine.manual4.3.30,0.700126196
good,4,wine.manual4.3.4,0.553581752
good,7,wine.manual4.3.7,0.572697092
good,1,wine.manual9.1.1,0.670708654
good,14,wine.manual9.1.14,0.780433333
good,2,wine.manual9.1.2,0.679588724
good,30,wine.manual9.1.30,0.759881084
good,4,wine.manual9.1.4,0.65778871
good,7,wine.manual9.1.7,0.8053
good,70,wine.manual9.1.70,0.817469068
good,1,wine.manual9.2.1,0.57356576
good,14,wine.manual9.2.14,0.7293
good,2,wine.manual9.2.2,0.672866667
good,30,wine.manual9.2.30,0.671679198
good,4,wine.manual9.2.4,0.637266667
good,60,wine.manual9.2.60,0.723581597
good,7,wine.manual9.2.7,0.7456
good,70,wine.manual9.2.70,0.784902228
intermediate,16,wine.manual9.3.16,0.7456
intermediate,2,wine.manual9.3.2,0.620666667
intermediate,30,wine.manual9.3.30,0.757666667
intermediate,4,wine.manual9.3.4,0.615533333
intermediate,60,wine.manual9.3.60,0.765469208
intermediate,7,wine.manual9.3.7,0.832633333
intermediate,70,wine.manual9.3.70,0.831646769
