Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.009733333
good,14,wine.manual10.1.14,0.0137
good,2,wine.manual10.1.2,0.006066667
good,30,wine.manual10.1.30,0.013633333
good,4,wine.manual10.1.4,0.009933333
good,7,wine.manual10.1.7,0.010133333
good,70,wine.manual10.1.70,0.00426247
good,1,wine.manual10.2.1,0.015366667
good,14,wine.manual10.2.14,0.024108814
good,2,wine.manual10.2.2,0.012333333
good,30,wine.manual10.2.30,0.012235655
good,4,wine.manual10.2.4,0.0233
good,60,wine.manual10.2.60,0.005033333
good,7,wine.manual10.2.7,0.022649839
good,70,wine.manual10.2.70,0.006433929
good,14,wine.manual10.3.14,0.005708849
good,2,wine.manual10.3.2,0.010866667
good,30,wine.manual10.3.30,0.005066667
good,4,wine.manual10.3.4,0.019933333
good,60,wine.manual10.3.60,0.0049
good,7,wine.manual10.3.7,0.006967307
good,70,wine.manual10.3.70,0.003574441
poor,1,wine.manual3.1.1,0.024056378
poor,14,wine.manual3.1.14,0.010652375
poor,2,wine.manual3.1.2,0.028827938
poor,30,wine.manual3.1.30,0.018885377
poor,4,wine.manual3.1.4,0.02576624
poor,60,wine.manual3.1.60,0.010233333
poor,7,wine.manual3.1.7,0.0281
poor,1,wine.manual3.2.1,0.043412571
poor,14,wine.manual3.2.14,0.0325
poor,2,wine.manual3.2.2,0.041519138
poor,30,wine.manual3.2.30,0.018624414
poor,4,wine.manual3.2.4,0.054033333
poor,7,wine.manual3.2.7,0.0268
intermediate,16,wine.manual3.3.16,0.025766667
intermediate,2,wine.manual3.3.2,0.012446087
intermediate,30,wine.manual3.3.30,0.020833333
intermediate,4,wine.manual3.3.4,0.0307
intermediate,60,wine.manual3.3.60,0.015405579
intermediate,7,wine.manual3.3.7,0.0186
intermediate,70,wine.manual3.3.70,0.019628687
poor,1,wine.manual4.1.1,0.00956973
poor,14,wine.manual4.1.14,0.018970832
poor,2,wine.manual4.1.2,0.012700365
poor,30,wine.manual4.1.30,0.009650135
poor,4,wine.manual4.1.4,0.029133333
poor,7,wine.manual4.1.7,0.020433333
poor,1,wine.manual4.2.1,0.009366667
poor,14,wine.manual4.2.14,0.027433333
poor,2,wine.manual4.2.2,0.011585661
poor,30,wine.manual4.2.30,0.011233333
poor,4,wine.manual4.2.4,0.038269961
poor,7,wine.manual4.2.7,0.021031624
good,16,wine.manual4.3.16,0.026593438
good,2,wine.manual4.3.2,0.005574757
good,30,wine.manual4.3.30,0.019087181
good,4,wine.manual4.3.4,0.02943186
good,7,wine.manual4.3.7,0.01775929
good,1,wine.manual9.1.1,0.027525474
good,14,wine.manual9.1.14,0.0172
good,2,wine.manual9.1.2,0.022925173
good,30,wine.manual9.1.30,0.00750848
good,4,wine.manual9.1.4,0.019508885
good,7,wine.manual9.1.7,0.0157
good,70,wine.manual9.1.70,0.009432807
good,1,wine.manual9.2.1,0.016001041
good,14,wine.manual9.2.14,0.020566667
good,2,wine.manual9.2.2,0.020366667
good,30,wine.manual9.2.30,0.021118974
good,4,wine.manual9.2.4,0.0334
good,60,wine.manual9.2.60,0.013327832
good,7,wine.manual9.2.7,0.019666667
good,70,wine.manual9.2.70,0.011368804
intermediate,16,wine.manual9.3.16,0.035833333
intermediate,2,wine.manual9.3.2,0.0311
intermediate,30,wine.manual9.3.30,0.022266667
intermediate,4,wine.manual9.3.4,0.046833333
intermediate,60,wine.manual9.3.60,0.018658358
intermediate,7,wine.manual9.3.7,0.0127
intermediate,70,wine.manual9.3.70,0.009285579
