Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.050066667
good,14,wine.manual10.1.14,0.093
good,2,wine.manual10.1.2,0.090133333
good,30,wine.manual10.1.30,0.076033333
good,4,wine.manual10.1.4,0.099633333
good,7,wine.manual10.1.7,0.076633333
good,70,wine.manual10.1.70,0.069552031
good,1,wine.manual10.2.1,0.126166667
good,14,wine.manual10.2.14,0.103388989
good,2,wine.manual10.2.2,0.1223
good,30,wine.manual10.2.30,0.065597721
good,4,wine.manual10.2.4,0.1076
good,60,wine.manual10.2.60,0.051766667
good,7,wine.manual10.2.7,0.102260185
good,70,wine.manual10.2.70,0.040621312
good,14,wine.manual10.3.14,0.080875357
good,2,wine.manual10.3.2,0.1087
good,30,wine.manual10.3.30,0.0375
good,4,wine.manual10.3.4,0.090966667
good,60,wine.manual10.3.60,0.039966667
good,7,wine.manual10.3.7,0.089196846
good,70,wine.manual10.3.70,0.034579702
poor,1,wine.manual3.1.1,0.192598605
poor,14,wine.manual3.1.14,0.318314146
poor,2,wine.manual3.1.2,0.2554979
poor,30,wine.manual3.1.30,0.230979727
poor,4,wine.manual3.1.4,0.225791942
poor,60,wine.manual3.1.60,0.090533333
poor,7,wine.manual3.1.7,0.1793
poor,1,wine.manual3.2.1,0.331436342
poor,14,wine.manual3.2.14,0.223133333
poor,2,wine.manual3.2.2,0.377846521
poor,30,wine.manual3.2.30,0.237669764
poor,4,wine.manual3.2.4,0.324366667
poor,7,wine.manual3.2.7,0.2022
intermediate,16,wine.manual3.3.16,0.172733333
intermediate,2,wine.manual3.3.2,0.271513658
intermediate,30,wine.manual3.3.30,0.1947
intermediate,4,wine.manual3.3.4,0.2266
intermediate,60,wine.manual3.3.60,0.232294939
intermediate,7,wine.manual3.3.7,0.1867
intermediate,70,wine.manual3.3.70,0.239834466
poor,1,wine.manual4.1.1,0.235709816
poor,14,wine.manual4.1.14,0.179172736
poor,2,wine.manual4.1.2,0.277562688
poor,30,wine.manual4.1.30,0.132910419
poor,4,wine.manual4.1.4,0.246866667
poor,7,wine.manual4.1.7,0.154533333
poor,1,wine.manual4.2.1,0.257
poor,14,wine.manual4.2.14,0.179433333
poor,2,wine.manual4.2.2,0.321492007
poor,30,wine.manual4.2.30,0.166333333
poor,4,wine.manual4.2.4,0.317058736
poor,7,wine.manual4.2.7,0.189361375
good,16,wine.manual4.3.16,0.140868141
good,2,wine.manual4.3.2,0.620804995
good,30,wine.manual4.3.30,0.16210958
good,4,wine.manual4.3.4,0.264413728
good,7,wine.manual4.3.7,0.249790008
good,1,wine.manual9.1.1,0.158513532
good,14,wine.manual9.1.14,0.0953
good,2,wine.manual9.1.2,0.166920844
good,30,wine.manual9.1.30,0.100811831
good,4,wine.manual9.1.4,0.19983884
good,7,wine.manual9.1.7,0.100166667
good,70,wine.manual9.1.70,0.080117604
good,1,wine.manual9.2.1,0.122934825
good,14,wine.manual9.2.14,0.072866667
good,2,wine.manual9.2.2,0.0977
good,30,wine.manual9.2.30,0.092989828
good,4,wine.manual9.2.4,0.103066667
good,60,wine.manual9.2.60,0.082195172
good,7,wine.manual9.2.7,0.0732
good,70,wine.manual9.2.70,0.057050726
intermediate,16,wine.manual9.3.16,0.076233333
intermediate,2,wine.manual9.3.2,0.111666667
intermediate,30,wine.manual9.3.30,0.071966667
intermediate,4,wine.manual9.3.4,0.108266667
intermediate,60,wine.manual9.3.60,0.072360704
intermediate,7,wine.manual9.3.7,0.0484
intermediate,70,wine.manual9.3.70,0.047185901
