Day,Quality,Sample,Abun
1,good,wine.manual10.1.1,0.0005
14,good,wine.manual10.1.14,0.0004
2,good,wine.manual10.1.2,0.0005
30,good,wine.manual10.1.30,0.000533333
4,good,wine.manual10.1.4,0.0008
7,good,wine.manual10.1.7,0.000433333
70,good,wine.manual10.1.70,0.000655765
1,good,wine.manual10.2.1,0.0006
14,good,wine.manual10.2.14,0.000878768
2,good,wine.manual10.2.2,0.000833333
30,good,wine.manual10.2.30,0.000584389
4,good,wine.manual10.2.4,0.0007
60,good,wine.manual10.2.60,0.000266667
7,good,wine.manual10.2.7,0.000815778
70,good,wine.manual10.2.70,0.000228423
14,good,wine.manual10.3.14,0.000951475
2,good,wine.manual10.3.2,0.000766667
30,good,wine.manual10.3.30,0.0004
4,good,wine.manual10.3.4,0.000533333
60,good,wine.manual10.3.60,0.000166667
7,good,wine.manual10.3.7,0.000689074
70,good,wine.manual10.3.70,0.000240974
1,poor,wine.manual3.1.1,0.002508947
14,poor,wine.manual3.1.14,0.000661638
2,poor,wine.manual3.1.2,0.003541718
30,poor,wine.manual3.1.30,0.002466662
4,poor,wine.manual3.1.4,0.001927649
60,poor,wine.manual3.1.60,0.001
7,poor,wine.manual3.1.7,0.002633333
1,poor,wine.manual3.2.1,0.001057615
14,poor,wine.manual3.2.14,0.000933333
2,poor,wine.manual3.2.2,0.00111811
30,poor,wine.manual3.2.30,0.000714796
4,poor,wine.manual3.2.4,0.001433333
7,poor,wine.manual3.2.7,0.0035
16,intermediate,wine.manual3.3.16,0.001466667
2,intermediate,wine.manual3.3.2,0.001478743
30,intermediate,wine.manual3.3.30,0.001566667
4,intermediate,wine.manual3.3.4,0.0017
60,intermediate,wine.manual3.3.60,0.000794882
7,intermediate,wine.manual3.3.7,0.000866667
70,intermediate,wine.manual3.3.70,0.000721364
1,poor,wine.manual4.1.1,0.003827892
14,poor,wine.manual4.1.14,0.001693824
2,poor,wine.manual4.1.2,0.005174223
30,poor,wine.manual4.1.30,0.00153787
4,poor,wine.manual4.1.4,0.002966667
7,poor,wine.manual4.1.7,0.003066667
1,poor,wine.manual4.2.1,0.003166667
14,poor,wine.manual4.2.14,0.004133333
2,poor,wine.manual4.2.2,0.004238657
30,poor,wine.manual4.2.30,0.002366667
4,poor,wine.manual4.2.4,0.00453716
7,poor,wine.manual4.2.7,0.003031931
16,good,wine.manual4.3.16,0.002023414
2,good,wine.manual4.3.2,0.006875534
30,good,wine.manual4.3.30,0.001682616
4,good,wine.manual4.3.4,0.002785515
7,good,wine.manual4.3.7,0.001639934
1,good,wine.manual9.1.1,0.001014339
14,good,wine.manual9.1.14,0.000633333
2,good,wine.manual9.1.2,0.001229891
30,good,wine.manual9.1.30,0.00064794
4,good,wine.manual9.1.4,0.001781246
7,good,wine.manual9.1.7,0.000966667
70,good,wine.manual9.1.70,0.000775859
1,good,wine.manual9.2.1,0.000845583
14,good,wine.manual9.2.14,0.000266667
2,good,wine.manual9.2.2,0.000233333
30,good,wine.manual9.2.30,0.000221141
4,good,wine.manual9.2.4,0.0004
60,good,wine.manual9.2.60,0.000453889
7,good,wine.manual9.2.7,0.000133333
70,good,wine.manual9.2.70,0.000124023
16,intermediate,wine.manual9.3.16,0.000366667
2,intermediate,wine.manual9.3.2,0.0003
30,intermediate,wine.manual9.3.30,0.000533333
4,intermediate,wine.manual9.3.4,0.000533333
60,intermediate,wine.manual9.3.60,0.000366569
7,intermediate,wine.manual9.3.7,0.0003
70,intermediate,wine.manual9.3.70,0.000151601
