Day,Quality,Sample,Abun
1,good,wine.manual10.1.1,0.000133333
14,good,wine.manual10.1.14,0.000133333
2,good,wine.manual10.1.2,0
30,good,wine.manual10.1.30,0.0001
4,good,wine.manual10.1.4,6.66667E-05
7,good,wine.manual10.1.7,0.000166667
70,good,wine.manual10.1.70,0
1,good,wine.manual10.2.1,3.33333E-05
14,good,wine.manual10.2.14,7.64146E-05
2,good,wine.manual10.2.2,3.33333E-05
30,good,wine.manual10.2.30,3.65243E-05
4,good,wine.manual10.2.4,3.33333E-05
60,good,wine.manual10.2.60,0
7,good,wine.manual10.2.7,0.000287922
70,good,wine.manual10.2.70,0
14,good,wine.manual10.3.14,0
2,good,wine.manual10.3.2,0.0001
30,good,wine.manual10.3.30,0.0001
4,good,wine.manual10.3.4,6.66667E-05
60,good,wine.manual10.3.60,0
7,good,wine.manual10.3.7,0
70,good,wine.manual10.3.70,4.01623E-05
1,poor,wine.manual3.1.1,7.37926E-05
14,poor,wine.manual3.1.14,6.61638E-05
2,poor,wine.manual3.1.2,0.000164731
30,poor,wine.manual3.1.30,3.85416E-05
4,poor,wine.manual3.1.4,0
60,poor,wine.manual3.1.60,0.0001
7,poor,wine.manual3.1.7,0.000133333
1,poor,wine.manual3.2.1,0.000100725
14,poor,wine.manual3.2.14,3.33333E-05
2,poor,wine.manual3.2.2,0.000335433
30,poor,wine.manual3.2.30,0.000119133
4,poor,wine.manual3.2.4,0.0001
7,poor,wine.manual3.2.7,0.0001
16,intermediate,wine.manual3.3.16,0.0001
2,intermediate,wine.manual3.3.2,0.000616143
30,intermediate,wine.manual3.3.30,0.0001
4,intermediate,wine.manual3.3.4,0.000233333
60,intermediate,wine.manual3.3.60,3.78515E-05
7,intermediate,wine.manual3.3.7,0.0001
70,intermediate,wine.manual3.3.70,0
1,poor,wine.manual4.1.1,3.68067E-05
14,poor,wine.manual4.1.14,3.38765E-05
2,poor,wine.manual4.1.2,0.000180917
30,poor,wine.manual4.1.30,0
4,poor,wine.manual4.1.4,0.000133333
7,poor,wine.manual4.1.7,0.000133333
1,poor,wine.manual4.2.1,0.000166667
14,poor,wine.manual4.2.14,6.66667E-05
2,poor,wine.manual4.2.2,0.000161473
30,poor,wine.manual4.2.30,0
4,poor,wine.manual4.2.4,0.000197268
7,poor,wine.manual4.2.7,0.000115137
16,good,wine.manual4.3.16,0.00014453
2,good,wine.manual4.3.2,0.00029732
30,good,wine.manual4.3.30,5.25818E-05
4,good,wine.manual4.3.4,0.000315341
7,good,wine.manual4.3.7,0
1,good,wine.manual9.1.1,0.000138319
14,good,wine.manual9.1.14,0
2,good,wine.manual9.1.2,4.91957E-05
30,good,wine.manual9.1.30,7.62282E-05
4,good,wine.manual9.1.4,4.24106E-05
7,good,wine.manual9.1.7,6.66667E-05
70,good,wine.manual9.1.70,4.08347E-05
1,good,wine.manual9.2.1,0
14,good,wine.manual9.2.14,3.33333E-05
2,good,wine.manual9.2.2,0.0002
30,good,wine.manual9.2.30,7.37137E-05
4,good,wine.manual9.2.4,0.000233333
60,good,wine.manual9.2.60,0.000165051
7,good,wine.manual9.2.7,6.66667E-05
70,good,wine.manual9.2.70,8.26822E-05
16,intermediate,wine.manual9.3.16,3.33333E-05
2,intermediate,wine.manual9.3.2,0.0001
30,intermediate,wine.manual9.3.30,6.66667E-05
4,intermediate,wine.manual9.3.4,0.0002
60,intermediate,wine.manual9.3.60,3.66569E-05
7,intermediate,wine.manual9.3.7,0
70,intermediate,wine.manual9.3.70,0
