Quality,Day,Sample,Abun
good,1,wine.manual10.1.1,0.001033333
good,14,wine.manual10.1.14,0.003533333
good,2,wine.manual10.1.2,0.0009
good,30,wine.manual10.1.30,0.003633333
good,4,wine.manual10.1.4,0.001333333
good,7,wine.manual10.1.7,0.001466667
good,70,wine.manual10.1.70,0.001639411
good,1,wine.manual10.2.1,0.000933333
good,14,wine.manual10.2.14,0.002789134
good,2,wine.manual10.2.2,0.0006
good,30,wine.manual10.2.30,0.001314876
good,4,wine.manual10.2.4,0.001533333
good,60,wine.manual10.2.60,0.001
good,7,wine.manual10.2.7,0.002447334
good,70,wine.manual10.2.70,0.000837553
good,14,wine.manual10.3.14,0.000951475
good,2,wine.manual10.3.2,0.000566667
good,30,wine.manual10.3.30,0.001466667
good,4,wine.manual10.3.4,0.0019
good,60,wine.manual10.3.60,0.001166667
good,7,wine.manual10.3.7,0.001760968
good,70,wine.manual10.3.70,0.001044219
poor,1,wine.manual3.1.1,0.000332067
poor,14,wine.manual3.1.14,0.000264655
poor,2,wine.manual3.1.2,0.000370645
poor,30,wine.manual3.1.30,0.001156248
poor,4,wine.manual3.1.4,0.001799139
poor,60,wine.manual3.1.60,0.000833333
poor,7,wine.manual3.1.7,0.0019
poor,1,wine.manual3.2.1,0.000302176
poor,14,wine.manual3.2.14,0.001666667
poor,2,wine.manual3.2.2,0.000633595
poor,30,wine.manual3.2.30,0.001707569
poor,4,wine.manual3.2.4,0.000966667
poor,7,wine.manual3.2.7,0.0023
intermediate,16,wine.manual3.3.16,0.0011
intermediate,2,wine.manual3.3.2,0.000205381
intermediate,30,wine.manual3.3.30,0.000633333
intermediate,4,wine.manual3.3.4,0.000766667
intermediate,60,wine.manual3.3.60,0.001211249
intermediate,7,wine.manual3.3.7,0.0007
intermediate,70,wine.manual3.3.70,0.012528949
poor,1,wine.manual4.1.1,0.000588906
poor,14,wine.manual4.1.14,0.002032589
poor,2,wine.manual4.1.2,0.000615117
poor,30,wine.manual4.1.30,0.001345636
poor,4,wine.manual4.1.4,0.001733333
poor,7,wine.manual4.1.7,0.002166667
poor,1,wine.manual4.2.1,0.000366667
poor,14,wine.manual4.2.14,0.003133333
poor,2,wine.manual4.2.2,0.000282577
poor,30,wine.manual4.2.30,0.001433333
poor,4,wine.manual4.2.4,0.002169946
poor,7,wine.manual4.2.7,0.001995702
good,16,wine.manual4.3.16,0.003661415
good,2,wine.manual4.3.2,0.001003456
good,30,wine.manual4.3.30,0.002155852
good,4,wine.manual4.3.4,0.001839491
good,7,wine.manual4.3.7,0.001559938
good,1,wine.manual9.1.1,0.000599382
good,14,wine.manual9.1.14,0.0009
good,2,wine.manual9.1.2,0.000491957
good,30,wine.manual9.1.30,0.000686054
good,4,wine.manual9.1.4,0.000720981
good,7,wine.manual9.1.7,0.000833333
good,70,wine.manual9.1.70,0.000653355
good,1,wine.manual9.2.1,0.000845583
good,14,wine.manual9.2.14,0.000566667
good,2,wine.manual9.2.2,0.000666667
good,30,wine.manual9.2.30,0.001031992
good,4,wine.manual9.2.4,0.0007
good,60,wine.manual9.2.60,0.00061894
good,7,wine.manual9.2.7,0.000533333
good,70,wine.manual9.2.70,0.000413411
intermediate,16,wine.manual9.3.16,0.000533333
intermediate,2,wine.manual9.3.2,0.0006
intermediate,30,wine.manual9.3.30,0.000566667
intermediate,4,wine.manual9.3.4,0.000733333
intermediate,60,wine.manual9.3.60,0.00047654
intermediate,7,wine.manual9.3.7,0.000433333
intermediate,70,wine.manual9.3.70,0.000341103
