Quality,Day,Sample,Abun
intermediate,0,yeast.machine.1,0.001333333
intermediate,0,yeast.machine.2,0.00102694
intermediate,0,yeast.machine.3,0.00318152
good,0,yeast.manual.1,0.000314663
good,0,yeast.manual.10,0.000733333
good,0,yeast.manual.11,0.000533333
good,0,yeast.manual.2,0.000473277
good,0,yeast.manual.3,0.000733333
good,0,yeast.manual.4,0.000302166
poor,0,yeast.manual.5,0.0004
poor,0,yeast.manual.6,0.000267201
good,0,yeast.manual.7,0.0007
poor,0,yeast.manual.8,0.000335133
poor,0,yeast.manual.9,0.0003
