Quality,Day,Sample,Abun
intermediate,0,yeast.machine.1,0.000733333
intermediate,0,yeast.machine.2,0.001095403
intermediate,0,yeast.machine.3,0.002109486
good,0,yeast.manual.1,0.00391581
good,0,yeast.manual.10,0.002066667
good,0,yeast.manual.11,0.003633333
good,0,yeast.manual.2,0.004462324
good,0,yeast.manual.3,0.002933333
good,0,yeast.manual.4,0.000906497
poor,0,yeast.manual.5,0.000433333
poor,0,yeast.manual.6,0.000835003
good,0,yeast.manual.7,0.000633333
poor,0,yeast.manual.8,0.000856451
poor,0,yeast.manual.9,0.000833333
