Quality,Day,Sample,Abun
intermediate,0,yeast.machine.1,0.4825
intermediate,0,yeast.machine.2,0.503474481
intermediate,0,yeast.machine.3,0.460732441
good,0,yeast.manual.1,0.077092511
good,0,yeast.manual.10,0.040266667
good,0,yeast.manual.11,0.053233333
good,0,yeast.manual.2,0.070450627
good,0,yeast.manual.3,0.032633333
good,0,yeast.manual.4,0.035890549
poor,0,yeast.manual.5,0.0199
poor,0,yeast.manual.6,0.019338677
good,0,yeast.manual.7,0.020666667
poor,0,yeast.manual.8,0.018097189
poor,0,yeast.manual.9,0.0158
