Quality,Day,Sample,Abun
intermediate,0,yeast.machine.1,0.0031
intermediate,0,yeast.machine.2,0.004073529
intermediate,0,yeast.machine.3,0.000345817
good,0,yeast.manual.1,0.001433466
good,0,yeast.manual.10,0.0006
good,0,yeast.manual.11,0.004566667
good,0,yeast.manual.2,0.001656469
good,0,yeast.manual.3,0.0116
good,0,yeast.manual.4,0.020916569
poor,0,yeast.manual.5,0.017766667
poor,0,yeast.manual.6,0.007882432
good,0,yeast.manual.7,0.0093
poor,0,yeast.manual.8,0.022379445
poor,0,yeast.manual.9,0.043066667
