Quality,Day,Sample,Abun
intermediate,0,yeast.machine.1,3.33E-05
intermediate,0,yeast.machine.2,0
intermediate,0,yeast.machine.3,0
good,0,yeast.manual.1,0.000314663
good,0,yeast.manual.10,0.000366667
good,0,yeast.manual.11,0.000333333
good,0,yeast.manual.2,0.000169027
good,0,yeast.manual.3,0.000633333
good,0,yeast.manual.4,0.001141514
poor,0,yeast.manual.5,0.001166667
poor,0,yeast.manual.6,0.000634603
good,0,yeast.manual.7,0.001633333
poor,0,yeast.manual.8,0.002308695
poor,0,yeast.manual.9,0.001866667
