Quality,Day,Sample,Abun
intermediate,0,yeast.machine.1,0.000333333
intermediate,0,yeast.machine.2,0.000136925
intermediate,0,yeast.machine.3,0.01376353
good,0,yeast.manual.1,0.044402489
good,0,yeast.manual.10,0.0364
good,0,yeast.manual.11,0.0361
good,0,yeast.manual.2,0.045907846
good,0,yeast.manual.3,0.032866667
good,0,yeast.manual.4,0.016753399
poor,0,yeast.manual.5,0.0177
poor,0,yeast.manual.6,0.012024048
good,0,yeast.manual.7,0.0285
poor,0,yeast.manual.8,0.044051387
poor,0,yeast.manual.9,0.0499
