Quality,Day,Sample,Abun
intermediate,0,yeast.machine.1,0.484633333
intermediate,0,yeast.machine.2,0.468798138
intermediate,0,yeast.machine.3,0.498426531
good,0,yeast.manual.1,0.699881127
good,0,yeast.manual.10,0.756766667
good,0,yeast.manual.11,0.710966667
good,0,yeast.manual.2,0.69186302
good,0,yeast.manual.3,0.680833333
good,0,yeast.manual.4,0.592748028
poor,0,yeast.manual.5,0.637033333
poor,0,yeast.manual.6,0.646092184
good,0,yeast.manual.7,0.636833333
poor,0,yeast.manual.8,0.630199218
poor,0,yeast.manual.9,0.610333333
