Quality,Day,Sample,Abun
intermediate,0,yeast.machine.1,0.000433333
intermediate,0,yeast.machine.2,0.000136925
intermediate,0,yeast.machine.3,0.000345817
good,0,yeast.manual.1,0.072862038
good,0,yeast.manual.10,0.0946
good,0,yeast.manual.11,0.0926
good,0,yeast.manual.2,0.080626078
good,0,yeast.manual.3,0.163133333
good,0,yeast.manual.4,0.175289575
poor,0,yeast.manual.5,0.164433333
poor,0,yeast.manual.6,0.184602538
good,0,yeast.manual.7,0.152133333
poor,0,yeast.manual.8,0.171550922
poor,0,yeast.manual.9,0.146233333
