Quality,Day,Sample,Abun
intermediate,0,yeast.machine.1,0.016266667
intermediate,0,yeast.machine.2,0.003217746
intermediate,0,yeast.machine.3,0.003907736
good,0,yeast.manual.1,0.094958395
good,0,yeast.manual.10,0.065233333
good,0,yeast.manual.11,0.089633333
good,0,yeast.manual.2,0.098948649
good,0,yeast.manual.3,0.069
good,0,yeast.manual.4,0.138593252
poor,0,yeast.manual.5,0.122
poor,0,yeast.manual.6,0.115464262
good,0,yeast.manual.7,0.1403
poor,0,yeast.manual.8,0.101843232
poor,0,yeast.manual.9,0.1067
