Quality,Day,Sample,Abun
intermediate,0,yeast.machine.1,0.0004
intermediate,0,yeast.machine.2,0.000136925
intermediate,0,yeast.machine.3,6.92E-05
good,0,yeast.manual.1,0.002901895
good,0,yeast.manual.10,0.0022
good,0,yeast.manual.11,0.006366667
good,0,yeast.manual.2,0.004225685
good,0,yeast.manual.3,0.005
good,0,yeast.manual.4,0.014738963
poor,0,yeast.manual.5,0.016866667
poor,0,yeast.manual.6,0.011088844
good,0,yeast.manual.7,0.006466667
poor,0,yeast.manual.8,0.006442003
poor,0,yeast.manual.9,0.022866667
